ELGI RUBBER COMPANY LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 0.05 , 0.05 , 5.01 , 5.01 , 5.01 , 5.01 , 5.01 , 5.01 , 5.01 , 5.01 
Reserves, -   , -   , 212.12 , 218.60 , 232.35 , 245.63 , 249.40 , 258.04 , 252.62 , 253.53 
Borrowings, -   , -   , -   , 7.29 , 14.21 , 18.10 , 20.77 , 67.16 , 110.68 , 119.15 
Other Liabilities, -   , -   , 19.05 , 15.97 , 14.06 , 12.57 , 14.54 , 20.48 , 20.80 , 21.64 
Total, 0.05 , 0.05 , 236.18 , 246.87 , 265.63 , 281.31 , 289.72 , 350.69 , 389.11 , 399.33 
,,,,,,,,,,
Net Block, -   , -   , 42.51 , 49.87 , 49.15 , 65.25 , 60.19 , 90.04 , 80.98 , 84.20 
Capital Work in Progress, -   , -   , -   , 0.47 , 1.56 , 0.06 , 10.12 , 21.03 , 12.52 , 7.45 
Investments, -   , -   , 46.75 , 60.70 , 62.82 , 64.89 , 87.26 , 48.93 , 55.46 , 56.79 
Other Assets, 0.05 , 0.05 , 146.92 , 135.83 , 152.10 , 151.11 , 132.15 , 190.69 , 240.15 , 250.89 
Total, 0.05 , 0.05 , 236.18 , 246.87 , 265.63 , 281.31 , 289.72 , 350.69 , 389.11 , 399.33 
,,,,,,,,,,
Working Capital, 0.05 , 0.05 , 127.87 , 119.86 , 138.04 , 138.54 , 117.61 , 170.21 , 219.35 , 229.25 
Debtors, -   , -   , 20.87 , 22.68 , 17.55 , 21.16 , 15.50 , 38.73 , 56.78 , 50.68 
Inventory, -   , -   , 18.27 , 27.75 , 28.36 , 39.69 , 39.26 , 49.21 , 56.70 , 68.26 
,,,,,,,,,,
Debtor Days, -   , -   , 39.22 , 74.22 , 45.52 , 53.53 , 42.41 , 70.26 , 103.51 , 99.09 
Inventory Turnover, -   , -   , 10.63 , 4.02 , 4.96 , 3.64 , 3.40 , 4.09 , 3.53 , 2.73 
,,,,,,,,,,
Return on Equity,0%,0%,9%,4%,7%,6%,2%,-10%,3%,1%
Return on Capital Emp,,0%,26%,6%,10%,8%,4%,-7%,5%,4%
,,,,,,,,,,
