EMPEE DISTILLERIES LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jun-08,Mar-09,Mar-10,Mar-11,Sep-12,Sep-13,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 19.01 , 19.01 , 19.01 , 19.01 , 19.01 , 19.01 , 19.01 , 19.01 , 20.18 , 20.18 
Reserves, 234.13 , 233.13 , 236.87 , 246.87 , 267.26 , 275.94 , 284.17 , 285.69 , 295.60 , 218.71 
Borrowings, 46.95 , 64.96 , 87.76 , 145.74 , 148.20 , 135.66 , 131.07 , 113.24 , 120.36 , 118.16 
Other Liabilities, 54.35 , 62.16 , 62.65 , 86.15 , 130.29 , 156.12 , 234.28 , 244.96 , 275.54 , 355.67 
Total, 354.44 , 379.26 , 406.29 , 497.77 , 564.76 , 586.73 , 668.53 , 662.90 , 711.68 , 712.72 
,,,,,,,,,,
Net Block, 85.09 , 88.77 , 88.10 , 95.30 , 104.13 , 184.92 , 192.40 , 178.57 , 314.04 , 307.80 
Capital Work in Progress, 4.42 , 8.90 , 13.10 , 53.34 , 83.65 , 3.82 , -   , -   , -   , -   
Investments, 45.13 , 103.71 , 185.02 , 67.05 , 228.89 , 279.97 , 279.97 , 279.97 , 184.65 , 184.65 
Other Assets, 219.80 , 177.88 , 120.07 , 282.08 , 148.09 , 118.02 , 196.16 , 204.36 , 212.99 , 220.27 
Total, 354.44 , 379.26 , 406.29 , 497.77 , 564.76 , 586.73 , 668.53 , 662.90 , 711.68 , 712.72 
,,,,,,,,,,
Working Capital, 165.45 , 115.72 , 57.42 , 195.93 , 17.80 , (38.10), (38.12), (40.60), (62.55), (135.40)
Debtors, 17.87 , 22.55 , 21.56 , 30.14 , 53.74 , 45.39 , 53.35 , 66.29 , 61.80 , 77.81 
Inventory, 20.01 , 23.99 , 19.54 , 27.46 , 26.86 , 37.03 , 49.34 , 64.58 , 76.53 , 58.65 
,,,,,,,,,,
Debtor Days, 41.07 , 42.47 , 29.58 , 38.29 , 42.20 , 61.35 , 38.72 , 75.39 , 93.35 , 123.94 
Inventory Turnover, 7.94 , 8.08 , 13.61 , 10.46 , 17.31 , 7.29 , 10.19 , 4.97 , 3.16 , 3.91 
,,,,,,,,,,
Return on Equity,4%,4%,7%,8%,8%,4%,-1%,1%,-16%,-32%
Return on Capital Emp,,7%,11%,11%,16%,7%,8%,7%,3%,-1%
,,,,,,,,,,
