EMPEE DISTILLERIES LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jun-08,Mar-09,Mar-10,Mar-11,Sep-12,Sep-13,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, (80.53), 89.80 , 86.21 , 47.92 , 93.98 , 100.04 , 29.43 , 46.54 , (53.03), -   
Cash from Investing Activity, (51.09), (90.37), (90.92), (74.47), (62.77), (61.88), (4.00), (0.05), 26.97 , -   
Cash from Financing Activity, 137.37 , 0.41 , (0.67), 29.86 , (34.00), (39.38), (24.61), (44.62), 23.02 , -   
Net Cash Flow, 5.75 , (0.16), (5.38), 3.31 , (2.79), (1.22), 0.82 , 1.88 , (3.04), -   
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
