ENDURANCE TECHNOLOGIES LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Jan-00,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, -   ," 1,578.46 "," 2,278.74 "," 2,770.20 "," 2,718.68 "," 3,121.93 "," 3,509.96 "," 3,657.50 "," 3,877.71 "," 4,638.92 "," 5,417.46 "," 5,549.56 "," 5,166.67 "
Expenses, -   ," 1,372.04 "," 2,016.22 "," 2,422.71 "," 2,381.04 "," 2,718.28 "," 3,095.62 "," 3,242.55 "," 3,416.17 "," 4,065.43 "," 4,685.44 "," 4,799.69 "," 4,551.30 "
Operating Profit, -   , 206.42 , 262.52 , 347.49 , 337.64 , 403.65 , 414.34 , 414.95 , 461.54 , 573.49 , 732.02 , 749.87 , 615.37 
Other Income, -   , 51.59 , 60.86 , 15.34 , 19.09 , 23.14 , 30.05 , 21.46 , 12.55 , (2.63), (4.58), -   , -   
Depreciation, -   , 110.76 , 119.73 , 141.02 , 141.61 , 161.76 , 157.10 , 147.50 , 166.86 , 169.63 , 175.71 , 175.71 , 175.71 
Interest, -   , 77.46 , 87.43 , 86.51 , 84.11 , 72.46 , 41.03 , 32.97 , 17.86 , 10.25 , 17.08 , 17.08 , 17.08 
Profit before tax, -   , 83.93 , 136.02 , 135.29 , 131.00 , 192.57 , 246.28 , 279.38 , 298.88 , 402.00 , 534.65 , 557.08 , 422.58 
Tax, -   , 30.78 , 32.63 , 29.24 , 30.02 , 42.53 , 64.88 , 70.74 , 77.39 , 130.40 , 176.79 ,33%,33%
Net profit, -   , 53.15 , 103.39 , 106.05 , 100.98 , 150.03 , 181.40 , 208.65 , 221.50 , 271.60 , 357.86 , 372.87 , 282.85 
EPS, -   , 31.27 , 58.80 , 58.40 , 57.43 , 85.33 , 103.17 , 118.67 , 15.75 , 19.31 , 25.44 , 26.51 , 20.11 
Price to earning,  ,  ,  ,  ,  ,  ,  ,  , 51.60 , 67.51 , 45.38 , 54.83 , 45.38 
Price, -   , -   , -   , -   , -   , -   , -   , -   , 812.49 ," 1,303.60 "," 1,154.55 "," 1,453.47 ", 912.54 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,1.28%,3.11%,3.49%,3.51%,6.79%,6.22%,15.87%,20.71%,,,
OPM,0.00%,13.08%,11.52%,12.54%,12.42%,12.93%,11.80%,11.35%,11.90%,12.36%,13.51%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,,10.69%,11.28%,9.74%,19.63%,19.63%,9.74%
,,,,,,OPM,12.16%,12.16%,12.06%,11.91%,13.51%,13.51%,11.91%
,,,,,,Price to Earning, 54.83 , 54.83 , 54.83 , 54.83 , 45.38 , 54.83 , 45.38 
