ENGINEERS INDIA LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 56.16 , 56.16 , 168.47 , 168.47 , 168.47 , 168.47 , 168.47 , 168.47 , 336.94 , 315.96 
Reserves," 1,319.18 "," 1,058.55 "," 1,273.65 "," 1,675.58 "," 2,069.08 "," 2,293.29 "," 2,399.43 "," 2,588.54 "," 2,439.02 "," 1,951.92 "
Borrowings, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Other Liabilities," 1,617.20 "," 1,726.28 "," 2,034.42 "," 1,904.03 "," 1,610.84 "," 1,292.19 "," 1,359.43 "," 1,355.69 "," 1,568.97 "," 2,185.07 "
Total," 2,992.54 "," 2,840.99 "," 3,476.54 "," 3,748.08 "," 3,848.39 "," 3,753.95 "," 3,927.33 "," 4,112.70 "," 4,344.93 "," 4,452.95 "
,,,,,,,,,,
Net Block, 54.76 , 60.05 , 60.07 , 53.09 , 50.46 , 117.90 , 269.70 , 240.03 , 269.91 , 255.14 
Capital Work in Progress, 8.52 , 11.84 , 13.08 , 51.60 , 135.52 , 131.76 , 19.11 , 24.39 , 55.72 , 51.85 
Investments, 153.70 , 100.73 , 512.42 , 634.97 , 653.14 , 736.59 , 140.39 , 75.45 , 532.42 , 244.01 
Other Assets," 2,775.56 "," 2,668.37 "," 2,890.97 "," 3,008.42 "," 3,009.27 "," 2,767.70 "," 3,498.13 "," 3,772.83 "," 3,486.88 "," 3,901.95 "
Total," 2,992.54 "," 2,840.99 "," 3,476.54 "," 3,748.08 "," 3,848.39 "," 3,753.95 "," 3,927.33 "," 4,112.70 "," 4,344.93 "," 4,452.95 "
,,,,,,,,,,
Working Capital," 1,158.36 ", 942.09 , 856.55 ," 1,104.39 "," 1,398.43 "," 1,475.51 "," 2,138.70 "," 2,417.14 "," 1,917.91 "," 1,716.88 "
Debtors, 300.09 , 316.74 , 308.12 , 307.37 , 332.17 , 343.09 , 426.06 , 363.31 , 383.08 , 544.93 
Inventory, 33.37 , 43.19 , 0.87 , 0.82 , 0.82 , 1.00 , 0.81 , 1.01 , 1.05 , 1.10 
,,,,,,,,,,
Debtor Days, 71.48 , 57.98 , 39.83 , 30.33 , 48.38 , 68.67 , 90.78 , 87.76 , 96.52 , 111.27 
Inventory Turnover, 45.92 , 46.16 ," 3,245.15 "," 4,510.76 "," 3,056.06 "," 1,823.59 "," 2,114.81 "," 1,496.05 "," 1,379.66 "," 1,625.07 "
,,,,,,,,,,
Return on Equity,25%,39%,36%,35%,28%,19%,12%,10%,12%,17%
Return on Capital Emp,,53%,62%,56%,44%,30%,19%,16%,18%,23%
,,,,,,,,,,
