EQUITAS HOLDINGS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, -   , 42.46 , 44.43 , 44.43 , 57.76 , 72.62 , 268.87 , 269.92 , 337.81 , 340.43 
Reserves, -   , 229.17 , 258.98 , 252.64 , 378.15 , 559.15 , 686.92 , 691.59 ," 1,337.28 "," 1,354.36 "
Borrowings, -   , 431.80 , 591.87 , -   , -   , -   , -   , -   , -   , -   
Other Liabilities, -   , 49.75 , 73.32 , 0.53 , 0.39 , 0.82 , 1.27 , 2.20 , 1.35 , 2.60 
Total, -   , 753.18 , 968.60 , 297.60 , 436.30 , 632.59 , 957.06 , 963.71 ," 1,676.44 "," 1,697.39 "
,,,,,,,,,,
Net Block, -   , 12.18 , 21.81 , 14.92 , 16.43 , 18.34 , 25.04 , 33.67 , 39.45 , 48.13 
Capital Work in Progress, -   , 0.32 , 0.12 , 0.06 , 0.51 , 2.57 , 0.18 , 0.10 , 0.10 , 1.07 
Investments, -   , 0.20 , 13.71 , 261.41 , 406.36 , 531.30 , 852.36 , 845.86 ," 1,461.86 "," 1,466.86 "
Other Assets, -   , 740.48 , 932.96 , 21.21 , 13.00 , 80.38 , 79.48 , 84.08 , 175.03 , 181.33 
Total, -   , 753.18 , 968.60 , 297.60 , 436.30 , 632.59 , 957.06 , 963.71 ," 1,676.44 "," 1,697.39 "
,,,,,,,,,,
Working Capital, -   , 690.73 , 859.64 , 20.68 , 12.61 , 79.56 , 78.21 , 81.88 , 173.68 , 178.73 
Debtors, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Inventory, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,
Debtor Days, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Inventory Turnover, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,
Return on Equity,,8%,10%,-2%,0%,0%,0%,0%,0%,0%
Return on Capital Emp,,21%,14%,0%,0%,0%,0%,0%,1%,0%
,,,,,,,,,,
