EQUITAS HOLDINGS LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Jan-00,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, -   , 124.00 , 237.76 , 1.55 , 2.69 , 2.88 , 8.92 , 8.20 , 12.30 , 13.57 , 20.66 , 20.66 , 6.63 
Expenses, -   , 47.73 , 119.72 , 1.53 , 0.60 , 1.14 , 4.37 , 3.44 , 4.07 , 4.45 , 8.96 , 7.25 , 3.01 
Operating Profit, -   , 76.27 , 118.04 , 0.02 , 2.09 , 1.74 , 4.55 , 4.76 , 8.23 , 9.12 , 11.70 , 13.41 , 3.62 
Other Income, -   , 0.10 , 0.39 , -   , -   , -   , -   , -   , 0.06 , -   , 1.86 , -   , -   
Depreciation, -   , 2.42 , 4.79 , 0.27 , 0.35 , 0.47 , 0.73 , 0.91 , 0.57 , 0.70 , 0.84 , 0.84 , 0.84 
Interest, -   , 39.19 , 68.83 , -   , -   , -   , -   , -   , 0.22 , -   , -   , -   , -   
Profit before tax, -   , 34.76 , 44.80 , (0.25), 1.73 , 1.28 , 3.82 , 3.84 , 7.50 , 8.42 , 12.72 , 12.57 , 2.78 
Tax, -   , 11.89 , 14.72 , 6.10 , 0.68 , 0.81 , 2.16 , 1.73 , 2.82 , 2.98 , 3.38 ,27%,27%
Net profit, -   , 22.87 , 30.09 , (6.35), 1.06 , 0.47 , 1.66 , 2.12 , 4.68 , 5.43 , 9.34 , 9.23 , 2.04 
EPS, -   , 5.15 , 6.77 , (1.43), 0.18 , 0.06 , 0.06 , 0.08 , 0.14 , 0.16 , 0.27 , 0.27 , 0.06 
Price to earning,  ,  ,  ,  ,  ,  ,  ," 1,761.62 "," 1,208.88 ", 948.86 , 510.25 ," 1,107.40 ", 510.25 
Price, -   , -   , -   , -   , -   , -   , -   , 138.36 , 167.48 , 151.35 , 139.55 , 299.23 , 30.51 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,0.00%,61.51%,49.65%,1.29%,77.70%,60.42%,51.01%,58.05%,66.91%,67.21%,56.63%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,,-33.57%,38.22%,15.01%,52.25%,52.25%,-33.57%
,,,,,,OPM,54.59%,60.89%,61.91%,64.90%,56.63%,64.90%,54.59%
,,,,,,Price to Earning," 1,107.40 "," 1,107.40 "," 1,107.40 "," 1,107.40 ", 510.25 ," 1,107.40 ", 510.25 
