EROS INTERNATIONAL MEDIA LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, 140.92 , 242.60 , 286.01 , 353.60 , 415.57 , 544.59 , 760.94 ," 1,004.19 ", 230.67 , 258.80 
Cash from Investing Activity, (220.17), (216.08), (435.36), (593.62), (524.49), (460.27), (889.02), (852.34), (470.18), (261.97)
Cash from Financing Activity, 1.66 , 41.64 , 313.91 , 183.50 , 18.75 , 6.77 , 13.28 , (161.70), 223.63 , 5.71 
Net Cash Flow, (77.59), 68.16 , 164.56 , (56.52), (90.17), 91.09 , (114.80), (9.85), (15.88), 2.54 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
