ESCORTS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Sep-08,Sep-09,Sep-10,Sep-11,Sep-12,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, 101.13 , 237.54 , 85.22 , 186.25 , 60.14 , 346.63 , 2.22 , 221.69 , 300.79 , 472.20 
Cash from Investing Activity, (16.69), 48.83 , (163.09), (81.54), (108.33), (62.39), 18.65 , (25.41), (139.67), (378.41)
Cash from Financing Activity, (114.47), (229.18), 69.41 , 7.11 , (24.67), (235.71), (10.80), (194.89), (137.87), 0.44 
Net Cash Flow, (30.03), 57.19 , (8.46), 111.82 , (72.86), 48.53 , 10.07 , 1.39 , 23.25 , 94.23 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
