ESSEL PROPACK LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Dec-08,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, 11.15 , 81.19 , 60.00 , 86.58 , 105.85 , 139.99 , 94.64 , 159.42 , 126.76 , 118.44 
Cash from Investing Activity, (84.75), 93.70 , 51.91 , (130.04), 62.66 , (32.13), (37.31), 90.74 , (61.67), (52.82)
Cash from Financing Activity, 75.29 , (173.69), (117.88), 43.93 , (155.88), (116.86), (61.50), (249.00), (67.10), (58.86)
Net Cash Flow, 1.69 , 1.20 , (5.97), 0.47 , 12.63 , (9.00), (4.17), 1.16 , (2.01), 6.76 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
