ESSEL PROPACK LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Dec-08,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 333.95 , 426.56 , 418.33 , 496.62 , 579.13 , 666.02 , 754.61 , 742.91 , 795.40 , 829.71 , 846.31 , 865.50 , 856.90 
Expenses, 270.78 , 345.65 , 328.32 , 402.84 , 464.08 , 543.16 , 613.38 , 590.77 , 637.33 , 640.01 , 668.43 , 682.79 , 685.77 
Operating Profit, 63.17 , 80.91 , 90.01 , 93.78 , 115.05 , 122.86 , 141.23 , 152.14 , 158.07 , 189.70 , 177.88 , 182.71 , 171.14 
Other Income, 57.09 , 83.62 , 56.94 , 45.12 , 39.21 , 34.42 , 20.75 , 68.61 , 19.63 , 22.04 , 17.40 , -   , -   
Depreciation, 20.66 , 28.89 , 24.31 , 28.61 , 33.08 , 36.65 , 45.75 , 50.63 , 60.21 , 68.66 , 75.10 , 75.10 , 75.10 
Interest, 61.13 , 91.49 , 59.39 , 58.74 , 54.99 , 45.01 , 40.93 , 25.87 , 23.22 , 21.40 , 22.83 , 22.83 , 22.83 
Profit before tax, 38.47 , 44.15 , 63.25 , 51.55 , 66.17 , 75.63 , 75.31 , 144.25 , 94.27 , 121.68 , 97.35 , 84.78 , 73.21 
Tax, 11.29 , 9.60 , 19.17 , 2.48 , 16.32 , 21.14 , 18.78 , 31.75 , 29.16 , 40.50 , 33.31 ,34%,34%
Net profit, 27.18 , 34.55 , 44.08 , 49.07 , 49.84 , 54.49 , 56.53 , 112.50 , 65.11 , 81.18 , 64.04 , 55.77 , 48.16 
EPS, 1.74 , 2.21 , 2.81 , 3.13 , 3.17 , 3.47 , 3.60 , 7.16 , 4.14 , 5.16 , 2.03 , 1.77 , 1.53 
Price to earning, 4.53 , 11.03 , 8.63 , 4.94 , 5.41 , 9.73 , 17.55 , 12.18 , 29.00 , 24.97 , 64.63 , 64.63 , 17.51 
Price, 7.85 , 24.33 , 24.29 , 15.49 , 17.15 , 33.76 , 63.14 , 87.20 , 120.14 , 128.93 , 131.30 , 114.35 , 26.75 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,17.29%,18.12%,21.30%,20.75%,23.64%,36.02%,44.47%,30.72%,57.93%,46.49%,,,
OPM,18.92%,18.97%,21.52%,18.88%,19.87%,18.45%,18.72%,20.48%,19.87%,22.86%,21.02%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,10.64%,10.28%,7.46%,3.21%,4.31%,4.31%,3.21%
,,,,,,OPM,19.97%,20.00%,20.17%,21.11%,21.02%,21.11%,19.97%
,,,,,,Price to Earning, 17.51 , 21.05 , 26.34 , 32.70 , 64.63 , 64.63 , 17.51 
