ESTER INDUSTRIES LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 27.75 , 31.45 , 31.45 , 31.45 , 31.45 , 31.45 , 31.32 , 41.70 , 41.70 , 41.70 
Reserves, 113.33 , 146.94 , 246.65 , 232.59 , 227.17 , 232.59 , 236.39 , 251.53 , 235.21 , 241.56 
Borrowings, 53.33 , 54.39 , 222.87 , 303.65 , 334.80 , 363.31 , 375.63 , 316.24 , 310.43 , 307.29 
Other Liabilities, 52.26 , 72.87 , 125.46 , 74.49 , 83.05 , 88.64 , 88.36 , 96.02 , 124.41 , 144.28 
Total, 246.67 , 305.65 , 626.43 , 642.18 , 676.47 , 715.99 , 731.70 , 705.49 , 711.75 , 734.83 
,,,,,,,,,,
Net Block, 140.23 , 135.79 , 363.23 , 350.45 , 375.52 , 389.99 , 399.33 , 384.99 , 416.23 , 398.54 
Capital Work in Progress, 0.45 , 36.61 , 4.60 , 17.19 , 5.11 , 18.08 , 12.09 , 23.48 , 1.74 , 1.27 
Investments, 0.11 , 0.27 , 0.90 , 0.80 , 0.02 , 0.12 , 0.02 , 0.41 , 0.21 , 0.27 
Other Assets, 105.88 , 132.98 , 257.70 , 273.74 , 295.82 , 307.80 , 320.26 , 296.61 , 293.57 , 334.75 
Total, 246.67 , 305.65 , 626.43 , 642.18 , 676.47 , 715.99 , 731.70 , 705.49 , 711.75 , 734.83 
,,,,,,,,,,
Working Capital, 53.62 , 60.11 , 132.24 , 199.25 , 212.77 , 219.16 , 231.90 , 200.59 , 169.16 , 190.47 
Debtors, 38.32 , 51.15 , 121.03 , 84.21 , 109.02 , 124.24 , 117.92 , 112.20 , 116.10 , 148.19 
Inventory, 29.00 , 39.14 , 74.38 , 104.31 , 122.70 , 124.11 , 127.67 , 128.37 , 117.26 , 114.19 
,,,,,,,,,,
Debtor Days, 37.64 , 47.35 , 65.85 , 44.04 , 45.00 , 48.89 , 48.10 , 53.32 , 60.27 , 66.62 
Inventory Turnover, 12.81 , 10.07 , 9.02 , 6.69 , 7.21 , 7.47 , 7.01 , 5.98 , 6.00 , 7.11 
,,,,,,,,,,
Return on Equity,24%,16%,47%,-5%,-2%,3%,1%,2%,-4%,2%
Return on Capital Emp,,22%,56%,3%,3%,8%,7%,7%,3%,7%
,,,,,,,,,,
