EVEREADY INDUSTRIES INDIA LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 36.34 , 36.34 , 36.34 , 36.34 , 36.34 , 36.34 , 36.34 , 36.34 , 36.34 , 36.34 
Reserves, 515.59 , 630.86 , 648.91 , 552.42 , 547.84 , 557.23 , 588.44 , 170.02 , 253.18 , 307.92 
Borrowings, 288.98 , 284.73 , 262.42 , 285.96 , 276.13 , 225.05 , 207.27 , 187.27 , 196.73 , 246.06 
Other Liabilities, 322.39 , 259.42 , 232.93 , 243.43 , 249.14 , 294.43 , 272.85 , 291.42 , 341.60 , 465.09 
Total," 1,163.30 "," 1,211.35 "," 1,180.60 "," 1,118.15 "," 1,109.45 "," 1,113.05 "," 1,104.90 ", 685.05 , 827.85 ," 1,055.41 "
,,,,,,,,,,
Net Block, 872.79 , 835.15 , 802.37 , 792.13 , 763.67 , 730.30 , 696.36 , 222.04 , 334.16 , 357.44 
Capital Work in Progress, 11.71 , 12.95 , 13.68 , 11.07 , 8.86 , 14.39 , 27.79 , 22.07 , 6.40 , 2.83 
Investments, -   , 41.10 , 41.10 , 0.05 , 0.05 , 1.40 , 2.66 , 2.71 , 2.66 , 2.66 
Other Assets, 278.80 , 322.15 , 323.45 , 314.90 , 336.87 , 366.96 , 378.09 , 438.23 , 484.63 , 692.48 
Total," 1,163.30 "," 1,211.35 "," 1,180.60 "," 1,118.15 "," 1,109.45 "," 1,113.05 "," 1,104.90 ", 685.05 , 827.85 ," 1,055.41 "
,,,,,,,,,,
Working Capital, (43.59), 62.73 , 90.52 , 71.47 , 87.73 , 72.53 , 105.24 , 146.81 , 143.03 , 227.39 
Debtors, 37.12 , 36.76 , 42.22 , 43.41 , 44.17 , 48.97 , 48.92 , 70.54 , 83.87 , 120.61 
Inventory, 172.78 , 202.12 , 189.80 , 213.14 , 221.00 , 256.94 , 259.55 , 237.41 , 284.30 , 300.11 
,,,,,,,,,,
Debtor Days, 15.69 , 13.87 , 16.20 , 16.16 , 15.57 , 15.50 , 13.96 , 19.45 , 22.59 , 30.23 
Inventory Turnover, 5.00 , 4.78 , 5.01 , 4.60 , 4.68 , 4.49 , 4.93 , 5.58 , 4.77 , 4.85 
,,,,,,,,,,
Return on Equity,4%,21%,6%,-14%,1%,2%,8%,33%,32%,16%
Return on Capital Emp,,22%,8%,-5%,5%,7%,12%,19%,29%,20%
,,,,,,,,,,
