EVEREST KANTO CYLINDER LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 20.23 , 20.23 , 21.43 , 21.43 , 21.43 , 21.43 , 21.43 , 22.44 , 22.44 , 22.44 
Reserves, 372.69 , 418.52 , 499.86 , 486.64 , 350.56 , 262.23 , 162.09 , 54.15 , 130.37 , 143.86 
Borrowings, 335.38 , 307.20 , 262.82 , 321.90 , 376.12 , 396.86 , 414.76 , 348.85 , 332.04 , 224.50 
Other Liabilities, 150.68 , 139.16 , 111.09 , 94.74 , 128.31 , 139.20 , 135.69 , 213.43 , 255.01 , 224.71 
Total, 878.98 , 885.11 , 895.20 , 924.71 , 876.42 , 819.72 , 733.97 , 638.87 , 739.86 , 615.51 
,,,,,,,,,,
Net Block, 129.23 , 187.27 , 224.79 , 326.65 , 307.47 , 299.00 , 269.38 , 253.70 , 193.28 , 206.92 
Capital Work in Progress, 157.80 , 157.75 , 128.56 , 24.40 , 26.50 , 25.46 , 23.43 , 23.75 , 7.12 , 0.32 
Investments, 92.74 , 97.30 , 142.37 , 109.28 , 110.25 , 110.25 , 90.94 , 70.97 , 54.18 , 45.01 
Other Assets, 499.21 , 442.79 , 399.48 , 464.38 , 432.20 , 385.01 , 350.22 , 290.45 , 485.28 , 363.26 
Total, 878.98 , 885.11 , 895.20 , 924.71 , 876.42 , 819.72 , 733.97 , 638.87 , 739.86 , 615.51 
,,,,,,,,,,
Working Capital, 348.53 , 303.63 , 288.39 , 369.64 , 303.89 , 245.81 , 214.53 , 77.02 , 230.27 , 138.55 
Debtors, 46.88 , 68.47 , 69.44 , 63.60 , 56.59 , 44.23 , 52.68 , 40.75 , 50.10 , 49.39 
Inventory, 243.16 , 210.13 , 152.92 , 227.48 , 176.85 , 164.50 , 143.97 , 113.83 , 106.14 , 116.80 
,,,,,,,,,,
Debtor Days, 48.50 , 71.59 , 66.85 , 74.57 , 83.66 , 79.00 , 106.71 , 87.10 , 74.94 , 55.85 
Inventory Turnover, 1.45 , 1.66 , 2.48 , 1.37 , 1.40 , 1.24 , 1.25 , 1.50 , 2.30 , 2.76 
,,,,,,,,,,
Return on Equity,9%,9%,4%,-2%,-13%,-31%,-54%,-150%,47%,8%
Return on Capital Emp,,8%,5%,-1%,-3%,-5%,-8%,-13%,24%,10%
,,,,,,,,,,
