EVEREST KANTO CYLINDER LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 352.80 , 349.07 , 379.12 , 311.32 , 246.89 , 204.35 , 180.19 , 170.77 , 244.01 , 322.79 , 434.58 , 434.58 , 312.92 
Expenses, 280.03 , 330.24 , 327.16 , 307.25 , 260.17 , 233.78 , 203.00 , 194.55 , 260.78 , 274.29 , 373.86 , 373.86 , 303.13 
Operating Profit, 72.77 , 18.83 , 51.96 , 4.07 , (13.28), (29.43), (22.81), (23.78), (16.77), 48.50 , 60.72 , 60.72 , 9.79 
Other Income, 16.29 , 33.09 , 10.16 , 12.30 , 11.21 , 13.03 , (8.47), (25.56), 140.15 , 9.35 , 14.14 , -   , -   
Depreciation, 22.65 , (5.58), 24.19 , 23.87 , 22.54 , 22.42 , 17.15 , 16.95 , 14.75 , 12.69 , 12.40 , 12.40 , 12.40 
Interest, 8.57 , 4.76 , 4.90 , 14.79 , 34.48 , 49.51 , 50.84 , 47.62 , 37.13 , 27.40 , 26.05 , 26.05 , 26.05 
Profit before tax, 57.84 , 53.39 , 35.48 , (19.88), (58.40), (88.33), (99.15), (113.90), 71.50 , 17.75 , 36.41 , 22.27 , (28.66)
Tax, 20.59 , 12.90 , 12.96 , (7.66), (10.91), -   , (0.02), 1.06 , 0.02 , 4.71 , 6.96 ,19%,19%
Net profit, 37.25 , 40.49 , 22.52 , (12.22), (47.50), (88.33), (99.13), (114.96), 71.48 , 13.05 , 29.45 , 18.01 , (23.18)
EPS, 3.68 , 4.00 , 2.10 , (1.14), (4.43), (8.24), (9.25), (10.25), 6.37 , 1.16 , 2.62 , 1.61 , (2.07)
Price to earning, 38.87 , 30.07 , 40.29 , (27.50), (4.80), (2.02), (1.18), (1.64), 5.50 , 43.30 , 10.94 , 19.91 , 10.94 
Price, 143.14 , 120.36 , 84.67 , 31.36 , 21.26 , 16.69 , 10.94 , 16.82 , 35.03 , 50.35 , 28.70 , 31.96 , (22.59)
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,32.59%,29.98%,71.36%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,20.63%,5.39%,13.71%,1.31%,0.00%,0.00%,0.00%,0.00%,0.00%,15.03%,13.97%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,-0.98%,-2.27%,5.51%,21.45%,34.63%,34.63%,-2.27%
,,,,,,OPM,7.10%,3.13%,4.32%,6.58%,13.97%,13.97%,3.13%
,,,,,,Price to Earning, 28.16 , 19.91 , 19.91 , 19.91 , 10.94 , 19.91 , 10.94 
