EXCEL INDUSTRIES LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 240.19 , 234.85 , 274.99 , 315.50 , 384.12 , 415.93 , 481.55 , 434.57 , 445.69 , 581.79 , 806.01 , 806.01 , 634.23 
Expenses, 227.15 , 212.71 , 242.11 , 290.19 , 343.76 , 376.40 , 409.60 , 372.26 , 401.92 , 456.74 , 557.79 , 557.79 , 554.92 
Operating Profit, 13.04 , 22.14 , 32.88 , 25.31 , 40.36 , 39.53 , 71.95 , 62.31 , 43.77 , 125.05 , 248.22 , 248.22 , 79.31 
Other Income, 7.26 , 8.25 , 2.88 , 11.90 , 3.70 , 4.26 , 7.00 , 1.78 , 8.92 , 2.63 , 4.70 , -   , -   
Depreciation, 10.03 , 9.93 , 9.74 , 9.70 , 10.13 , 11.03 , 14.70 , 14.88 , 13.92 , 14.94 , 17.79 , 17.79 , 17.79 
Interest, 9.61 , 7.17 , 6.72 , 8.96 , 12.21 , 12.22 , 13.97 , 12.54 , 11.15 , 6.96 , 2.44 , 2.44 , 2.44 
Profit before tax, 1.36 , 13.29 , 19.30 , 18.55 , 21.71 , 20.53 , 50.29 , 36.68 , 27.60 , 105.77 , 232.69 , 227.99 , 59.08 
Tax, 0.62 , 5.33 , 5.88 , 3.87 , 6.89 , 3.05 , 9.73 , 11.49 , 6.81 , 33.23 , 80.61 ,35%,35%
Net profit, 0.74 , 7.96 , 13.42 , 14.68 , 14.82 , 17.48 , 40.56 , 25.20 , 20.80 , 72.54 , 152.06 , 149.01 , 38.61 
EPS, 0.68 , 7.30 , 12.31 , 13.46 , 13.59 , 16.03 , 34.07 , 19.53 , 16.55 , 57.71 , 120.96 , 118.54 , 30.72 
Price to earning, 43.62 , 9.05 , 6.63 , 5.12 , 4.46 , 4.58 , 8.90 , 13.49 , 23.93 , 20.86 , 9.13 , 16.85 , 9.13 
Price, 29.60 , 66.08 , 81.54 , 68.96 , 60.62 , 73.41 , 303.37 , 263.43 , 395.96 ," 1,203.99 "," 1,104.80 "," 1,997.88 ", 280.55 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,74.32%,27.39%,30.48%,14.85%,22.06%,23.40%,20.54%,23.02%,36.30%,21.67%,,,
OPM,5.43%,9.43%,11.96%,8.02%,10.51%,9.50%,14.94%,14.34%,9.82%,21.49%,30.80%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,10.33%,11.30%,8.66%,6.51%,38.54%,38.54%,6.51%
,,,,,,OPM,12.51%,13.35%,14.52%,15.81%,30.80%,30.80%,12.51%
,,,,,,Price to Earning, 13.62 , 11.31 , 13.48 , 16.85 , 9.13 , 16.85 , 9.13 
