EXCEL REALTY N INFRA LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, 1.85 , (1.19), 0.48 , 3.72 , (1.56), 0.14 , 0.99 , (0.23), 2.66 , 5.00 
Cash from Investing Activity, (6.14), (44.94), 0.55 , (28.65), (4.84), 1.15 , 0.57 , 1.35 , 1.88 , (6.25)
Cash from Financing Activity, 0.84 , 47.98 , (2.61), 25.07 , 6.33 , (1.78), (1.33), (1.26), (1.85), (0.26)
Net Cash Flow, (3.45), 1.85 , (1.58), 0.14 , (0.07), (0.49), 0.24 , (0.15), 2.70 , (1.51)
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
