FIEM INDUSTRIES LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, 22.51 , 38.50 , 15.74 , 51.91 , 71.26 , 76.63 , 82.08 , 121.52 , 46.04 , 124.46 
Cash from Investing Activity, (13.65), (34.73), (78.45), (54.14), (27.74), (40.71), (58.56), (108.44), (197.60), (44.55)
Cash from Financing Activity, (8.02), (4.06), 62.90 , 6.10 , (47.23), (35.64), (22.01), (12.72), 173.21 , (101.53)
Net Cash Flow, 0.84 , (0.29), 0.19 , 3.87 , (3.71), 0.28 , 1.50 , 0.36 , 21.65 , (21.62)
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
