FUTURE MARKET NETWORKS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, -   , 0.05 , 11.17 , 55.85 , 55.85 , 55.85 , 55.85 , 56.17 , 56.29 , 56.29 
Reserves, -   , (0.01), 252.76 , 361.69 , 257.83 , 192.21 , 138.93 , 142.97 , 136.01 , 137.52 
Borrowings, -   , -   , 1.80 , 336.15 , 448.19 , 509.76 , 377.62 , 340.42 , 300.88 , 205.48 
Other Liabilities, -   , 0.06 , 10.02 , 8.62 , 136.84 , 175.34 , 291.34 , 275.69 , 205.81 , 266.15 
Total, -   , 0.10 , 275.75 , 762.31 , 898.71 , 933.16 , 863.74 , 815.25 , 698.99 , 665.44 
,,,,,,,,,,
Net Block, -   , -   , 3.39 , 3.17 , 327.18 , 306.80 , 280.86 , 167.77 , 208.43 , 185.07 
Capital Work in Progress, -   , -   , 2.14 , -   , 9.47 , 9.47 , 14.55 , 9.47 , -   , -   
Investments, -   , 0.05 , 254.80 , 484.42 , 217.40 , 203.89 , 207.04 , 267.30 , 117.67 , 134.84 
Other Assets, -   , 0.05 , 15.42 , 274.72 , 344.66 , 413.00 , 361.29 , 370.71 , 372.89 , 345.53 
Total, -   , 0.10 , 275.75 , 762.31 , 898.71 , 933.16 , 863.74 , 815.25 , 698.99 , 665.44 
,,,,,,,,,,
Working Capital, -   , (0.01), 5.40 , 266.10 , 207.82 , 237.66 , 69.95 , 95.02 , 167.08 , 79.38 
Debtors, -   , -   , 10.79 , 24.77 , 47.77 , 42.19 , 28.92 , 27.24 , 13.62 , 15.73 
Inventory, -   , -   , -   , -   , -   , -   , -   , 10.65 , 9.30 , 9.19 
,,,,,,,,,,
Debtor Days, -   , -   , 161.81 , 308.67 , 159.19 , 199.76 , 144.72 , 123.04 , 60.25 , 72.30 
Inventory Turnover, -   , -   , -   , -   , -   , -   , -   , 7.59 , 8.87 , 8.64 
,,,,,,,,,,
Return on Equity,,0%,0%,0%,-11%,-27%,-27%,18%,-13%,1%
Return on Capital Emp,,0%,0%,8%,2%,-2%,-1%,3%,4%,6%
,,,,,,,,,,
