FUTURE MARKET NETWORKS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, -   , 0.05 , 2.98 , (247.93), 135.78 , (27.17), 108.14 , 3.64 , (10.49), 75.96 
Cash from Investing Activity, -   , -   , (4.29), 27.43 , 61.56 , 21.26 , 1.65 , 47.19 , 79.40 , 48.76 
Cash from Financing Activity, -   , -   , 1.80 , 220.56 , (197.27), 13.49 , (116.87), (51.34), (64.32), (111.75)
Net Cash Flow, -   , 0.05 , 0.49 , 0.06 , 0.07 , 7.58 , (7.08), (0.51), 4.58 , 12.97 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
