FUTURE RETAIL LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Dec-12,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, -   , -   , -   , -   , (136.05), (703.66), (284.30), 261.99 , 197.03 , 600.59 
Cash from Investing Activity, -   , -   , -   , -   , (80.62), (60.94), (50.27), (169.52), (69.66), (454.98)
Cash from Financing Activity, -   , -   , -   , -   , 235.65 , 749.77 , 320.41 , (11.31), (88.41), (130.47)
Net Cash Flow, -   , -   , -   , -   , 18.98 , (14.83), (14.16), 81.16 , 38.96 , 15.14 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
