GAIL (INDIA) LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity," 2,577.88 "," 4,677.43 "," 3,077.25 "," 4,487.74 "," 5,033.41 "," 4,921.57 "," 2,444.08 "," 4,070.62 "," 5,760.94 "," 8,662.60 "
Cash from Investing Activity," (2,252.15)"," (3,416.21)"," (4,729.49)"," (7,141.56)"," (5,472.15)"," (3,231.73)", (964.43), (670.88), (380.07)," (2,567.95)"
Cash from Financing Activity," (1,342.57)", (545.86), (387.92)," 1,453.80 "," 1,865.35 "," (1,396.80)"," (2,988.98)"," (3,318.03)"," (5,238.31)"," (5,470.45)"
Net Cash Flow," (1,016.84)", 715.36 ," (2,040.16)"," (1,200.02)"," 1,426.61 ", 293.04 ," (1,509.33)", 81.71 , 142.56 , 624.20 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
