GE T&D INDIA LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Dec-08,Dec-09,Dec-10,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales," 2,641.09 "," 3,565.87 "," 4,020.03 "," 4,139.07 "," 3,151.87 "," 3,523.54 "," 3,710.72 "," 3,303.36 "," 4,052.13 "," 4,331.71 "," 4,218.82 "," 4,630.58 "," 4,376.96 "
Expenses," 2,229.06 "," 3,149.57 "," 3,586.28 "," 3,705.08 "," 2,890.19 "," 3,210.89 "," 3,378.94 "," 3,196.75 "," 3,995.54 "," 4,057.28 "," 3,792.90 "," 4,163.09 "," 4,213.06 "
Operating Profit, 412.03 , 416.30 , 433.75 , 433.99 , 261.68 , 312.65 , 331.78 , 106.61 , 56.59 , 274.43 , 425.92 , 467.49 , 163.90 
Other Income, (2.30), 14.12 , 17.11 , 29.82 , 33.87 , 43.51 , 11.38 , 142.49 , 140.70 , 240.09 , 58.30 , -   , -   
Depreciation, 34.03 , 61.13 , 93.60 , 101.43 , 81.33 , 87.02 , 81.86 , 85.73 , 88.20 , 89.86 , 83.22 , 83.22 , 83.22 
Interest, 42.69 , 76.27 , 75.64 , 124.80 , 91.60 , 91.70 , 91.12 , 107.49 , 182.36 , 105.85 , 66.43 , 66.43 , 66.43 
Profit before tax, 347.02 , 293.02 , 281.62 , 237.58 , 122.62 , 177.44 , 170.18 , 55.88 , (73.27), 318.81 , 334.57 , 317.84 , 14.25 
Tax, 120.70 , 101.02 , 94.88 , 75.17 , 38.51 , 60.42 , 49.61 , 21.38 , 13.39 , 110.05 , 121.90 ,36%,36%
Net profit, 226.32 , 192.00 , 186.74 , 162.41 , 84.11 , 117.02 , 120.57 , 34.50 , (86.66), 208.76 , 212.67 , 202.04 , 9.06 
EPS, 9.47 , 8.03 , 7.81 , 6.79 , 3.52 , 4.57 , 4.71 , 1.35 , (3.38), 8.15 , 8.31 , 7.89 , 0.35 
Price to earning, 16.83 , 28.66 , 33.51 , 25.09 , 43.56 , 56.74 , 119.39 , 304.01 , (100.82), 47.01 , 34.33 , 128.45 , 34.33 
Price, 159.27 , 230.13 , 261.74 , 170.40 , 153.22 , 259.31 , 562.18 , 409.62 , 341.22 , 383.26 , 285.15 ," 1,013.53 ", 12.14 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,19.02%,22.42%,23.05%,26.50%,51.17%,39.39%,38.23%,133.59%,0.00%,22.08%,,,
OPM,15.60%,11.67%,10.79%,10.49%,8.30%,8.87%,8.94%,3.23%,1.40%,6.34%,10.10%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,5.65%,1.07%,6.57%,5.29%,6.90%,6.90%,1.07%
,,,,,,OPM,8.34%,6.78%,5.72%,3.74%,10.10%,10.10%,3.74%
,,,,,,Price to Earning, 70.91 , 90.02 , 112.30 , 128.45 , 34.33 , 128.45 , 34.33 
