GMR INFRASTRUCTURE LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, (26.15), 34.79 , 7.71 , (120.37), (114.47), 157.55 , (112.22), (22.98), 46.52 , (169.92)
Cash from Investing Activity," 1,246.71 "," (3,307.76)", (555.15), (403.80), (810.62)," (1,873.51)", (370.38)," (1,537.97)", (9.28), (25.48)
Cash from Financing Activity, 3.21 ," 2,073.04 ", 892.60 , 326.47 , 922.96 ," 1,516.38 ", 876.91 ," 1,497.72 ", (334.80), 248.19 
Net Cash Flow," 1,223.77 "," (1,199.93)", 345.16 , (197.70), (2.13), (199.58), 394.31 , (63.23), (297.56), 52.79 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
