GOCL CORPORATION LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, (5.38), 106.58 , (17.92), 15.95 , 47.16 , 46.63 , (4.32), 17.61 , 3.34 , (5.38)
Cash from Investing Activity, (61.44), 35.67 , 6.67 , (27.02), (50.31), 148.05 , (14.13), 8.94 , 1.13 , 2.33 
Cash from Financing Activity, 114.84 , (146.24), (6.26), 34.31 , (43.64), (192.11), (4.37), (19.25), (13.36), (0.26)
Net Cash Flow, 48.02 , (3.99), (17.51), 23.24 , (46.79), 2.57 , (22.82), 7.29 , (8.89), (3.31)
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
