GRP LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 1.33 , 1.33 , 1.33 , 1.33 , 1.33 , 1.33 , 1.33 , 1.33 , 1.33 , 1.33 
Reserves, 41.23 , 51.93 , 65.97 , 86.57 , 95.93 , 104.26 , 111.14 , 117.55 , 126.15 , 125.66 
Borrowings, 17.79 , 24.35 , 40.32 , 76.20 , 90.28 , 84.98 , 67.22 , 67.61 , 65.23 , 56.05 
Other Liabilities, 20.45 , 23.63 , 28.46 , 46.97 , 51.05 , 52.02 , 53.78 , 50.06 , 51.13 , 48.79 
Total, 80.80 , 101.24 , 136.08 , 211.07 , 238.59 , 242.59 , 233.47 , 236.55 , 243.84 , 231.83 
,,,,,,,,,,
Net Block, 38.09 , 48.55 , 68.73 , 106.72 , 139.19 , 136.21 , 129.48 , 130.37 , 130.48 , 122.54 
Capital Work in Progress, 5.07 , 7.45 , 10.29 , 15.57 , 2.06 , 3.89 , 6.08 , 1.96 , 2.19 , 2.36 
Investments, 0.34 , 0.34 , 0.34 , 0.14 , 0.14 , 0.43 , 0.59 , 0.67 , 1.24 , 1.30 
Other Assets, 37.30 , 44.90 , 56.72 , 88.64 , 97.20 , 102.06 , 97.32 , 103.55 , 109.93 , 105.63 
Total, 80.80 , 101.24 , 136.08 , 211.07 , 238.59 , 242.59 , 233.47 , 236.55 , 243.84 , 231.83 
,,,,,,,,,,
Working Capital, 16.85 , 21.27 , 28.26 , 41.67 , 46.15 , 50.04 , 43.54 , 53.49 , 58.80 , 56.84 
Debtors, 23.55 , 27.80 , 30.96 , 41.89 , 47.99 , 49.98 , 50.48 , 54.45 , 48.23 , 51.25 
Inventory, 8.66 , 12.38 , 15.10 , 21.86 , 32.34 , 33.26 , 30.05 , 33.14 , 45.01 , 33.35 
,,,,,,,,,,
Debtor Days, 66.04 , 71.62 , 60.90 , 62.60 , 63.95 , 59.08 , 54.28 , 63.12 , 58.06 , 62.47 
Inventory Turnover, 15.03 , 11.44 , 12.29 , 11.17 , 8.47 , 9.28 , 11.30 , 9.50 , 6.74 , 8.98 
,,,,,,,,,,
Return on Equity,32%,26%,26%,29%,12%,10%,8%,7%,7%,1%
Return on Capital Emp,,34%,30%,31%,14%,13%,9%,8%,8%,4%
,,,,,,,,,,
