GRP LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, 18.11 , 14.33 , 21.23 , 26.14 , 13.08 , 28.31 , 32.23 , 17.73 , 21.91 , 23.08 
Cash from Investing Activity, (6.82), (18.22), (29.83), (42.07), (32.24), (13.88), (8.52), (11.91), (16.82), (7.37)
Cash from Financing Activity, (10.60), 3.60 , 11.07 , 27.40 , 6.05 , (13.76), (24.46), (5.47), (6.71), (15.16)
Net Cash Flow, 0.69 , (0.29), 2.47 , 11.47 , (13.11), 0.67 , (0.76), 0.36 , (1.62), 0.54 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
