GTL LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Jun-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales," 1,450.90 "," 1,551.33 "," 3,081.21 "," 1,500.40 "," 2,160.27 "," 1,250.20 "," 1,354.39 "," 1,240.33 "," 1,221.08 ", 995.46 , 219.05 , 898.36 , 954.99 
Expenses," 1,227.29 "," 1,285.74 "," 2,591.69 "," 1,466.86 "," 2,022.79 "," 1,118.12 "," 1,760.14 "," 1,051.90 "," 1,295.27 "," 1,085.12 ", 491.42 , 849.39 , 954.99 
Operating Profit, 223.61 , 265.59 , 489.52 , 33.54 , 137.48 , 132.08 , (405.75), 188.43 , (74.19), (89.66), (272.37), 48.97 , -   
Other Income, 69.07 , 127.19 , 270.54 , 100.40 , 41.68 , 73.05 , 192.74 ," (1,943.63)", 33.51 ," (2,502.38)", 48.87 , -   , -   
Depreciation, 43.41 , 48.01 , 87.56 , 88.57 , 157.24 , 110.35 , 123.72 , 98.48 , 47.42 , 17.49 , 4.53 , 4.53 , 4.53 
Interest, 136.48 , 147.08 , 458.20 , 430.82 , 540.92 , 539.37 , 464.56 , 559.80 , 547.12 , 18.53 , 16.67 , 16.67 , 16.67 
Profit before tax, 112.79 , 197.69 , 214.30 , (385.45), (519.00), (444.59), (801.29)," (2,413.45)", (635.19)," (2,628.03)", (244.70), 27.77 , (21.20)
Tax, 21.35 , 39.33 , 72.12 , 15.29 , 0.37 , 25.18 , -   , (39.74), (5.33), (0.37), 0.05 ,0%,0%
Net profit, 91.44 , 158.36 , 142.18 , (400.74), (519.37), (469.77), (801.29)," (2,373.71)", (629.86)," (2,627.66)", (244.78), 27.77 , (21.20)
EPS, 9.65 , 16.37 , 14.62 , (41.20), (33.09), (29.87), (50.94), (150.91), (40.04), (167.05), (15.56), 1.77 , (1.35)
Price to earning, 25.73 , 25.05 , 5.76 , (0.99), (0.49), (0.55), (0.28), (0.08), (0.44), (0.07), -   , -   , -   
Price, 248.35 , 410.13 , 84.26 , 40.65 , 16.13 , 16.32 , 14.42 , 12.23 , 17.46 , 11.11 , 4.10 , -   , -   
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,31.08%,18.33%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,15.41%,17.12%,15.89%,2.24%,6.36%,10.56%,0.00%,15.19%,0.00%,0.00%,0.00%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,-4.10%,-14.91%,-14.35%,-9.75%,-18.48%,-9.75%,-18.48%
,,,,,,OPM,9.30%,5.06%,5.29%,5.45%,0.00%,5.45%,0.00%
,,,,,,Price to Earning, 18.85 ,  ,  ,  , -   , -   , -   
