GTPL HATHWAY LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, -   , -   , -   , -   , 54.26 , 148.92 , 170.73 , 54.16 , 118.62 , 227.59 
Cash from Investing Activity, -   , -   , -   , -   , (121.49), (213.70), (84.46), (199.65), (197.07), (186.43)
Cash from Financing Activity, -   , -   , -   , -   , 82.08 , 60.99 , (68.24), 159.51 , 55.37 , (21.81)
Net Cash Flow, -   , -   , -   , -   , 14.85 , (3.79), 18.04 , 14.02 , (23.09), 19.36 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
