GAMMON INFRASTRUCTURE PROJECTS LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Dec-13,Sep-14,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 37.34 , 117.62 , 86.00 , 102.99 , 123.91 , 78.99 , 81.36 , 403.20 , 189.82 , 150.79 , 55.30 , 185.22 , 139.42 
Expenses, 25.16 , 99.35 , 33.39 , 41.06 , 42.88 , 44.76 , 60.57 , 338.68 , 173.39 , 139.73 , 65.93 , 162.31 , 139.42 
Operating Profit, 12.18 , 18.27 , 52.61 , 61.93 , 81.03 , 34.23 , 20.79 , 64.52 , 16.43 , 11.06 , (10.63), 22.91 , -   
Other Income, 10.65 , 5.30 , 5.15 , 2.52 , 15.86 , 5.50 , (36.62), 50.47 , 29.37 , 25.91 , (56.48), -   , -   
Depreciation, 1.95 , 1.99 , 1.98 , 2.00 , 1.99 , 1.73 , 1.77 , 3.31 , 0.16 , 0.61 , 0.69 , 0.69 , 0.69 
Interest, 0.93 , 1.13 , 9.86 , 22.32 , 42.49 , 52.28 , 53.46 , 89.65 , 26.43 , 22.44 , 21.26 , 21.26 , 21.26 
Profit before tax, 19.95 , 20.45 , 45.92 , 40.14 , 52.85 , (14.27), (71.05), 22.02 , 19.21 , 13.92 , (89.06), 0.96 , (21.95)
Tax, 6.33 , 6.45 , 10.19 , 7.20 , 22.42 , (0.30), (1.72), (1.25), 0.46 , 2.48 , (3.18),0%,0%
Net profit, 13.62 , 14.00 , 35.73 , 32.94 , 30.43 , (13.97), (69.34), 23.27 , 18.75 , 11.44 , (85.88), 0.96 , (21.95)
EPS, 0.19 , 0.19 , 0.49 , 0.45 , 0.41 , (0.19), (0.74), 0.25 , 0.20 , 0.12 , (0.91), 0.01 , (0.23)
Price to earning, 65.78 , 133.39 , 39.68 , 31.35 , 26.58 , (42.26), (18.80), 19.87 , 23.46 , 20.56 , -   , 21.30 , -   
Price, 12.40 , 25.75 , 19.43 , 14.15 , 11.01 , 8.03 , 13.88 , 4.91 , 4.67 , 2.50 , 0.45 , 0.22 , -   
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,32.62%,15.53%,61.17%,60.13%,65.39%,43.33%,25.55%,16.00%,8.66%,7.33%,0.00%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,16.78%,8.35%,4.00%,22.83%,-20.56%,22.83%,-20.56%
,,,,,,OPM,27.19%,25.64%,16.26%,12.37%,0.00%,12.37%,0.00%
,,,,,,Price to Earning, 45.08 , 24.36 , 21.30 , 21.30 , -   , 21.30 , -   
