GANGES SECURITIES LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, -   , -   , -   , -   , -   , -   , 0.05 , 0.05 , 10.00 , 10.00 
Reserves, -   , -   , -   , -   , -   , -   , -   , (0.04), 36.47 , 36.54 
Borrowings, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Other Liabilities, -   , -   , -   , -   , -   , -   , -   , -   , 1.82 , 1.88 
Total, -   , -   , -   , -   , -   , -   , 0.05 , 0.01 , 48.29 , 48.42 
,,,,,,,,,,
Net Block, -   , -   , -   , -   , -   , -   , -   , -   , 0.66 , 0.62 
Capital Work in Progress, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Investments, -   , -   , -   , -   , -   , -   , -   , -   , 47.31 , 47.31 
Other Assets, -   , -   , -   , -   , -   , -   , 0.05 , 0.01 , 0.32 , 0.49 
Total, -   , -   , -   , -   , -   , -   , 0.05 , 0.01 , 48.29 , 48.42 
,,,,,,,,,,
Working Capital, -   , -   , -   , -   , -   , -   , 0.05 , 0.01 , (1.50), (1.39)
Debtors, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Inventory, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,
Debtor Days, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Inventory Turnover, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,
Return on Equity,,,,,,,0%,-400%,0%,0%
Return on Capital Emp,,,,,,,0%,-133%,-1%,0%
,,,,,,,,,,
