GANGES SECURITIES LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, -   , -   , -   , -   , -   , -   , -   , -   , 0.16 , 0.42 , 0.42 , 1.10 , 1.10 
Expenses, -   , -   , -   , -   , -   , -   , -   , 0.03 , 0.28 , 0.48 , 0.23 , 0.60 , 1.10 
Operating Profit, -   , -   , -   , -   , -   , -   , -   , (0.03), (0.12), (0.06), 0.19 , 0.50 , -   
Other Income, -   , -   , -   , -   , -   , -   , -   , -   , -   , 0.17 , 0.28 , -   , -   
Depreciation, -   , -   , -   , -   , -   , -   , -   , -   , 0.04 , 0.04 , 0.04 , 0.04 , 0.04 
Interest, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Profit before tax, -   , -   , -   , -   , -   , -   , -   , (0.04), (0.16), 0.07 , 0.43 , 0.46 , (0.04)
Tax, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 0.05 ,12%,12%
Net profit, -   , -   , -   , -   , -   , -   , -   , (0.04), (0.16), 0.07 , 0.38 , 0.41 , (0.04)
EPS, -   , -   , -   , -   , -   , -   , -   , (8.00), (0.16), 0.07 , 0.38 , 0.41 , (0.04)
Price to earning,  ,  ,  ,  ,  ,  ,  ,  ,  ," 1,126.33 ", 121.11 , 623.72 , 121.11 
Price, -   , -   , -   , -   , -   , -   , -   , -   , -   , 78.81 , 46.00 , 252.75 , (4.28)
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,45.24%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,,,,,162.50%,162.50%,162.50%
,,,,,,OPM,0.00%,0.00%,0.00%,0.00%,45.24%,45.24%,0.00%
,,,,,,Price to Earning, 623.72 , 623.72 , 623.72 , 623.72 , 121.11 , 623.72 , 121.11 
