GARDEN REACH SHIPBUILDERS & ENGINEERS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-18
Equity Share Capital, -   , -   , -   , -   , -   , -   , -   , -   , -   , 114.55 
Reserves, -   , -   , -   , -   , -   , -   , -   , -   , -   , 901.39 
Borrowings, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Other Liabilities, -   , -   , -   , -   , -   , -   , -   , -   , -   ," 3,284.80 "
Total, -   , -   , -   , -   , -   , -   , -   , -   , -   ," 4,300.74 "
,,,,,,,,,,
Net Block, -   , -   , -   , -   , -   , -   , -   , -   , -   , 389.17 
Capital Work in Progress, -   , -   , -   , -   , -   , -   , -   , -   , -   , 16.03 
Investments, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Other Assets, -   , -   , -   , -   , -   , -   , -   , -   , -   ," 3,895.54 "
Total, -   , -   , -   , -   , -   , -   , -   , -   , -   ," 4,300.74 "
,,,,,,,,,,
Working Capital, -   , -   , -   , -   , -   , -   , -   , -   , -   , 610.74 
Debtors, -   , -   , -   , -   , -   , -   , -   , -   , -   , 203.37 
Inventory, -   , -   , -   , -   , -   , -   , -   , -   , -   , 508.66 
,,,,,,,,,,
Debtor Days, -   , -   , -   , -   , -   , -   , -   , -   , -   , 55.24 
Inventory Turnover, -   , -   , -   , -   , -   , -   , -   , -   , -   , 2.64 
,,,,,,,,,,
Return on Equity,,,,,,,,,,9%
Return on Capital Emp,,,,,,,,,,27%
,,,,,,,,,,
