GATEWAY DISTRIPARKS LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 203.56 , 158.57 , 186.24 , 225.99 , 205.87 , 196.08 , 275.89 , 330.63 , 321.23 , 327.96 , 366.70 , 366.70 , 347.92 
Expenses, 85.96 , 78.29 , 89.15 , 99.62 , 112.98 , 124.20 , 166.56 , 251.85 , 256.94 , 265.06 , 300.01 , 289.62 , 284.64 
Operating Profit, 117.60 , 80.28 , 97.09 , 126.37 , 92.89 , 71.88 , 109.33 , 78.78 , 64.29 , 62.90 , 66.69 , 77.08 , 63.27 
Other Income, 5.72 , 8.40 , 5.26 , 8.82 , 8.20 , 4.41 , 31.74 , 98.54 , 26.90 , 22.19 , 74.59 , -   , -   
Depreciation, 14.95 , 14.98 , 14.22 , 15.10 , 15.27 , 17.93 , 26.77 , 22.55 , 21.50 , 24.33 , 26.61 , 26.61 , 26.61 
Interest, 1.05 , 1.86 , 2.42 , 1.36 , 1.54 , 2.64 , 4.92 , 2.51 , 2.98 , 8.13 , 9.97 , 9.97 , 9.97 
Profit before tax, 107.32 , 71.84 , 85.71 , 118.73 , 84.28 , 55.72 , 109.39 , 152.26 , 66.72 , 52.63 , 104.70 , 40.50 , 26.69 
Tax, 13.56 , (5.37), 0.88 , 36.72 , 26.72 , 18.64 , 28.69 , 35.49 , 15.02 , 14.62 , 16.54 ,16%,16%
Net profit, 93.76 , 77.21 , 84.83 , 82.01 , 57.56 , 37.07 , 80.69 , 116.77 , 51.70 , 38.01 , 88.16 , 34.11 , 22.48 
EPS, 8.70 , 7.16 , 7.85 , 7.57 , 5.30 , 3.41 , 7.42 , 10.74 , 4.75 , 3.50 , 8.11 , 3.14 , 2.07 
Price to earning, 7.57 , 17.69 , 15.30 , 19.82 , 23.01 , 50.15 , 50.75 , 26.34 , 56.37 , 51.36 , 17.64 , 37.93 , 17.64 
Price, 65.87 , 126.56 , 120.20 , 150.10 , 122.04 , 171.19 , 376.63 , 282.93 , 268.06 , 179.54 , 143.05 , 118.98 , 36.47 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,40.21%,48.92%,76.39%,79.22%,131.95%,205.10%,94.32%,65.18%,147.21%,200.24%,,,
OPM,57.77%,50.63%,52.13%,55.92%,45.12%,36.66%,39.63%,23.83%,20.01%,19.18%,18.19%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,5.44%,8.42%,9.76%,5.93%,11.81%,11.81%,5.44%
,,,,,,OPM,37.06%,32.19%,26.67%,21.02%,18.19%,21.02%,18.19%
,,,,,,Price to Earning, 30.55 , 36.93 , 42.10 , 37.93 , 17.64 , 37.93 , 17.64 
