GAYATRI HIGHWAYS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-16,Mar-17,Mar-18
Equity Share Capital, -   , -   , -   , -   , -   , -   , -   , 0.02 , 47.93 , 47.93 
Reserves, -   , -   , -   , -   , -   , -   , -   , (0.01), 24.34 , 12.05 
Borrowings, -   , -   , -   , -   , -   , -   , -   , 0.01 , 312.96 , 357.92 
Other Liabilities, -   , -   , -   , -   , -   , -   , -   , -   , 18.55 , 17.04 
Total, -   , -   , -   , -   , -   , -   , -   , 0.02 , 403.78 , 434.94 
,,,,,,,,,,
Net Block, -   , -   , -   , -   , -   , -   , -   , -   , 0.76 , 0.76 
Capital Work in Progress, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Investments, -   , -   , -   , -   , -   , -   , -   , -   , 285.31 , 373.30 
Other Assets, -   , -   , -   , -   , -   , -   , -   , 0.02 , 117.71 , 60.88 
Total, -   , -   , -   , -   , -   , -   , -   , 0.02 , 403.78 , 434.94 
,,,,,,,,,,
Working Capital, -   , -   , -   , -   , -   , -   , -   , 0.02 , 99.16 , 43.84 
Debtors, -   , -   , -   , -   , -   , -   , -   , -   , -   , 7.12 
Inventory, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,
Debtor Days, -   , -   , -   , -   , -   , -   , -   , -   , -   , 337.95 
Inventory Turnover, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,
Return on Equity,,,,,,,,0%,0%,-59%
Return on Capital Emp,,,,,,,,0%,0%,4%
,,,,,,,,,,
