GAYATRI HIGHWAYS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, -   , -   , -   , -   , -   , -   , -   , -   , (98.49), 29.36 
Cash from Investing Activity, -   , -   , -   , -   , -   , -   , -   , -   , (261.71), (55.31)
Cash from Financing Activity, -   , -   , -   , -   , -   , -   , -   , -   , 360.86 , 25.60 
Net Cash Flow, -   , -   , -   , -   , -   , -   , -   , -   , 0.66 , (0.35)
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
