GAYATRI HIGHWAYS LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, -   , -   , -   , -   , -   , -   , -   , -   , -   , 7.69 , 5.96 , 7.69 , 7.69 
Expenses, -   , -   , -   , -   , -   , -   , -   , -   , -   , 3.99 , 2.95 , 3.81 , 3.99 
Operating Profit, -   , -   , -   , -   , -   , -   , -   , -   , -   , 3.70 , 3.01 , 3.88 , 3.70 
Other Income, -   , -   , -   , -   , -   , -   , -   , -   , -   , 11.26 , 10.41 , -   , -   
Depreciation, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Interest, -   , -   , -   , -   , -   , -   , -   , -   , -   , 50.28 , 36.80 , 36.80 , 36.80 
Profit before tax, -   , -   , -   , -   , -   , -   , -   , -   , -   , (35.33), (23.38), (32.92), (33.10)
Tax, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0%,0%
Net profit, -   , -   , -   , -   , -   , -   , -   , -   , -   , (35.33), (23.39), (32.92), (33.10)
EPS, -   , -   , -   , -   , -   , -   , -   , -   , -   , (1.47), (0.98), (1.37), (1.38)
Price to earning,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , -   , -   , -   
Price, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 0.80 , -   , -   
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,48.11%,50.50%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,,,,,,0.00%,0.00%
,,,,,,OPM,48.11%,48.11%,48.11%,48.11%,50.50%,50.50%,48.11%
,,,,,,Price to Earning,  ,  ,  ,  , -   , -   , -   
