GEECEE VENTURES LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 24.68 , 24.68 , 20.63 , 20.28 , 19.03 , 19.03 , 19.03 , 21.73 , 21.73 , 21.73 
Reserves, 173.69 , 270.24 , 229.53 , 259.67 , 258.08 , 261.17 , 269.74 , 309.38 , 342.72 , 372.61 
Borrowings, 88.31 , 0.23 , 0.13 , 0.03 , -   , -   , 0.07 , 0.14 , 0.06 , -   
Other Liabilities, 65.90 , 93.54 , 152.25 , 24.30 , 23.80 , 33.44 , 73.14 , 49.84 , 39.14 , 31.58 
Total, 352.58 , 388.69 , 402.54 , 304.28 , 300.91 , 313.64 , 361.98 , 381.09 , 403.65 , 425.92 
,,,,,,,,,,
Net Block, 191.97 , 36.16 , 35.92 , 29.56 , 27.53 , 26.93 , 26.63 , 24.94 , 24.88 , 22.68 
Capital Work in Progress, 41.19 , 0.18 , -   , -   , -   , -   , -   , -   , -   , -   
Investments, 2.64 , 175.10 , 56.94 , 50.31 , 42.56 , 39.33 , 32.39 , 55.07 , 183.48 , 238.45 
Other Assets, 116.78 , 177.25 , 309.68 , 224.41 , 230.82 , 247.38 , 302.96 , 301.08 , 195.29 , 164.79 
Total, 352.58 , 388.69 , 402.54 , 304.28 , 300.91 , 313.64 , 361.98 , 381.09 , 403.65 , 425.92 
,,,,,,,,,,
Working Capital, 50.88 , 83.71 , 157.43 , 200.11 , 207.02 , 213.94 , 229.82 , 251.24 , 156.15 , 133.21 
Debtors, 69.54 , 3.31 , 1.05 , 0.87 , 0.40 , 0.25 , 0.82 , 19.73 , 32.67 , 30.70 
Inventory, 18.44 , 0.23 , 0.18 , -   , 107.52 , 114.32 , 135.79 , 110.27 , 140.31 , 100.83 
,,,,,,,,,,
Debtor Days, 69.33 , 9.30 , 98.78 , 24.35 , 11.28 , 6.32 , 6.89 , 49.94 , 126.94 , 60.69 
Inventory Turnover, 19.85 , 564.70 , 21.56 , -   , 0.12 , 0.13 , 0.32 , 1.31 , 0.67 , 1.83 
,,,,,,,,,,
Return on Equity,14%,34%,3%,12%,2%,2%,4%,11%,8%,8%
Return on Capital Emp,,37%,2%,14%,3%,3%,5%,12%,9%,8%
,,,,,,,,,,
