GEOJIT FINANCIAL SERVICES LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 158.08 , 284.71 , 266.18 , 230.21 , 225.17 , 187.60 , 284.94 , 233.47 , 263.54 , 328.96 , 278.23 , 410.62 , 337.51 
Expenses, 127.47 , 193.51 , 193.92 , 172.60 , 164.62 , 138.59 , 178.70 , 169.64 , 179.99 , 219.93 , 221.44 , 283.15 , 268.62 
Operating Profit, 30.61 , 91.20 , 72.26 , 57.61 , 60.55 , 49.01 , 106.24 , 63.83 , 83.55 , 109.03 , 56.79 , 127.47 , 68.89 
Other Income, 0.78 , 2.58 , 4.99 , 5.18 , 7.20 , (100.50), 4.32 , 2.76 , (6.60), 5.23 , 16.63 , -   , -   
Depreciation, 10.13 , 11.52 , 12.79 , 11.52 , 11.29 , 9.53 , 8.48 , 11.32 , 12.39 , 12.42 , 13.01 , 13.01 , 13.01 
Interest, 0.99 , 0.54 , 0.65 , 1.03 , 0.79 , 0.75 , 1.04 , 0.73 , 0.53 , 0.40 , 0.64 , 0.64 , 0.64 
Profit before tax, 20.27 , 81.72 , 63.81 , 50.24 , 55.67 , (61.78), 101.05 , 54.53 , 64.04 , 101.44 , 59.77 , 113.82 , 55.24 
Tax, 5.75 , 24.57 , 15.08 , 10.52 , 13.70 , 15.69 , 33.50 , 18.94 , 25.73 , 33.95 , 23.75 ,40%,40%
Net profit, 14.52 , 57.15 , 48.73 , 39.72 , 41.96 , (77.48), 67.55 , 35.60 , 38.32 , 67.49 , 36.02 , 68.59 , 33.29 
EPS, 0.65 , 2.54 , 2.13 , 1.74 , 1.84 , (3.39), 2.92 , 1.52 , 1.63 , 2.84 , 1.51 , 2.88 , 1.40 
Price to earning, 38.48 , 15.07 , 11.80 , 10.59 , 11.66 , (6.90), 18.75 , 21.74 , 37.57 , 34.73 , 25.37 , 29.85 , 22.58 
Price, 25.01 , 38.24 , 25.19 , 18.43 , 21.42 , 23.41 , 54.74 , 32.95 , 61.12 , 98.54 , 38.35 , 85.93 , 31.54 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,76.93%,29.57%,35.15%,43.13%,54.43%,0.00%,59.94%,65.98%,76.83%,70.50%,,,
OPM,19.36%,32.03%,27.15%,25.02%,26.89%,26.12%,37.29%,27.34%,31.70%,33.14%,20.41%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,8.48%,3.07%,7.88%,4.91%,24.82%,24.82%,3.07%
,,,,,,OPM,29.39%,30.21%,31.70%,31.04%,20.41%,31.04%,20.41%
,,,,,,Price to Earning, 22.58 , 22.92 , 27.63 , 29.85 , 25.37 , 29.85 , 22.58 
