GILLANDERS ARBUTHNOT & COMPANY LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 466.29 , 603.74 , 743.58 , 667.82 , 782.41 , 946.80 , 855.47 , 793.38 , 650.34 , 626.79 , 683.81 , 683.81 , 559.44 
Expenses, 425.86 , 533.04 , 638.11 , 635.61 , 707.90 , 891.03 , 809.31 , 756.79 , 631.80 , 589.60 , 647.21 , 647.21 , 534.50 
Operating Profit, 40.43 , 70.70 , 105.47 , 32.21 , 74.51 , 55.77 , 46.16 , 36.59 , 18.54 , 37.19 , 36.60 , 36.60 , 24.94 
Other Income, 6.04 , 9.12 , 3.33 , 5.82 , 8.25 , 13.03 , 7.99 , 6.69 , 35.08 , 14.69 , 15.76 , -   , -   
Depreciation, 12.10 , 21.65 , 22.45 , 24.62 , 24.91 , 28.59 , 20.63 , 18.65 , 19.10 , 16.16 , 17.35 , 17.35 , 17.35 
Interest, 12.27 , 19.81 , 19.75 , 28.71 , 28.48 , 35.98 , 40.67 , 46.50 , 47.95 , 44.93 , 45.86 , 45.86 , 45.86 
Profit before tax, 22.10 , 38.36 , 66.60 , (15.30), 29.39 , 4.23 , (7.15), (21.87), (13.43), (9.21), (10.85), (26.61), (38.27)
Tax, 5.54 , 13.00 , 12.41 , (6.03), 8.80 , (1.35), (3.94), 0.80 , 0.19 , 1.43 , 3.43 ,0%,0%
Net profit, 16.56 , 25.36 , 54.19 , (9.27), 20.59 , 5.58 , (3.21), (22.67), (13.62), (10.64), (14.27), (26.61), (38.27)
EPS, 7.82 , 11.88 , 25.39 , (4.34), 9.65 , 2.61 , (1.50), (10.62), (6.38), (4.99), (6.69), (12.47), (17.93)
Price to earning, 4.85 , 8.96 , 4.34 , (16.84), 7.13 , 24.93 , (39.18), (6.22), (11.73), (13.86), -   , -   , -   
Price, 37.94 , 106.43 , 110.18 , 73.15 , 68.82 , 65.18 , 58.92 , 66.06 , 74.83 , 69.11 , 49.95 , -   , -   
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,42.51%,28.08%,17.72%,0.00%,20.74%,28.67%,0.00%,0.00%,0.00%,0.00%,,,
OPM,8.67%,11.71%,14.18%,4.82%,9.52%,5.89%,5.40%,4.61%,2.85%,5.93%,5.35%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,3.34%,-2.41%,-4.34%,-9.85%,9.10%,9.10%,-9.85%
,,,,,,OPM,7.25%,5.65%,5.02%,4.46%,5.35%,5.35%,4.46%
,,,,,,Price to Earning, 10.04 , 16.03 , 24.93 ,  , -   , -   , -   
