GLENMARK PHARMACEUTICALS LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 823.42 , 983.22 ," 1,162.95 "," 1,564.67 "," 1,949.31 "," 2,300.91 "," 5,085.60 "," 6,115.17 "," 7,989.23 "," 6,403.23 "," 6,385.34 "," 6,914.35 "," 6,385.39 "
Expenses, 633.77 , 857.95 , 924.93 ," 1,308.53 "," 1,692.94 "," 1,897.68 "," 3,736.43 "," 4,349.09 "," 5,089.43 "," 5,052.98 "," 4,996.31 "," 4,885.95 "," 4,996.35 "
Operating Profit, 189.65 , 125.27 , 238.02 , 256.14 , 256.37 , 403.23 ," 1,349.17 "," 1,766.08 "," 2,899.80 "," 1,350.25 "," 1,389.03 "," 2,028.40 "," 1,389.04 "
Other Income, 139.16 , 77.79 , 71.71 , 54.63 , 116.25 , 66.91 , (86.27), 116.48 , (89.37), 177.67 , 830.52 , -   , -   
Depreciation, 19.10 , 21.28 , 20.99 , 21.11 , 25.04 , 30.20 , 119.46 , 99.81 , 104.93 , 118.20 , 109.75 , 109.75 , 109.75 
Interest, 94.81 , 99.67 , 85.75 , 60.87 , 43.69 , 30.98 , 30.19 , 36.22 , 152.60 , 190.90 , 221.92 , 221.92 , 221.92 
Profit before tax, 246.04 , 120.99 , 250.79 , 284.10 , 379.96 , 501.92 ," 1,231.55 "," 1,746.53 "," 2,552.90 "," 1,218.83 "," 1,887.88 "," 1,696.73 "," 1,057.37 "
Tax, 28.11 , (7.47), 38.61 , 18.80 , (6.15), 68.11 , 224.02 , 262.27 , 412.28 , 204.48 , 325.53 ,17%,17%
Net profit, 217.93 , 128.46 , 212.18 , 265.30 , 386.11 , 433.82 ," 1,007.53 "," 1,484.27 "," 2,140.61 "," 1,014.35 "," 1,562.33 "," 1,404.16 ", 875.05 
EPS, 8.70 , 4.76 , 7.85 , 9.81 , 14.26 , 15.99 , 37.14 , 52.60 , 75.86 , 35.95 , 55.36 , 49.76 , 31.01 
Price to earning, 21.24 , 56.84 , 37.93 , 32.47 , 33.86 , 36.26 , 23.43 , 15.15 , 11.66 , 15.74 , 10.10 , 13.16 , 10.10 
Price, 184.75 , 270.58 , 297.80 , 318.46 , 482.64 , 579.99 , 870.15 , 796.98 , 884.29 , 565.94 , 559.45 , 655.01 , 313.34 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,4.60%,8.40%,5.09%,20.39%,14.03%,12.50%,5.39%,3.80%,2.64%,5.56%,,,
OPM,23.03%,12.74%,20.47%,16.37%,13.15%,17.52%,26.53%,28.88%,36.30%,21.09%,21.75%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,25.60%,27.60%,26.85%,7.98%,-0.28%,7.98%,-0.28%
,,,,,,OPM,25.70%,26.37%,27.85%,29.34%,21.75%,29.34%,21.75%
,,,,,,Price to Earning, 26.79 , 22.33 , 18.72 , 13.16 , 10.10 , 13.16 , 10.10 
