GLOBAL OFFSHORE SERVICES LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 162.24 , 181.48 , 170.17 , 153.15 , 177.42 , 131.23 , 89.92 , 159.79 , 98.49 , 76.26 , 67.40 , 72.18 , 65.79 
Expenses, 75.78 , 79.50 , 73.15 , 67.80 , 75.33 , 72.65 , 46.07 , 88.82 , 65.86 , 68.39 , 61.53 , 48.13 , 60.06 
Operating Profit, 86.46 , 101.98 , 97.02 , 85.35 , 102.09 , 58.58 , 43.85 , 70.97 , 32.63 , 7.87 , 5.87 , 24.05 , 5.73 
Other Income, 3.30 , 7.19 , 2.43 , 1.50 , 3.10 , 3.65 , 1.50 , 0.42 , 14.55 , (114.39), (149.47), -   , -   
Depreciation, 22.90 , 34.09 , 34.33 , 29.93 , 23.15 , 22.74 , 13.36 , 22.39 , 22.59 , 23.69 , 23.55 , 23.55 , 23.55 
Interest, 26.05 , 31.79 , 25.70 , 23.63 , 23.49 , 15.83 , 9.46 , 18.79 , 20.04 , 21.41 , 25.56 , 25.56 , 25.56 
Profit before tax, 40.81 , 43.29 , 39.42 , 33.29 , 58.55 , 23.66 , 22.54 , 30.22 , 4.55 , (151.61), (192.71), (25.06), (43.38)
Tax, 0.45 , 2.30 , (0.64), 0.41 , 8.41 , 0.70 , 1.85 , 0.21 , 0.23 , -   , (0.22),0%,0%
Net profit, 40.36 , 40.99 , 40.06 , 32.88 , 50.14 , 22.97 , 20.68 , 30.01 , 4.31 , (151.62), (192.51), (25.06), (43.38)
EPS, 16.94 , 17.21 , 16.82 , 13.43 , 20.28 , 9.29 , 8.36 , 12.14 , 1.74 , (61.31), (77.86), (10.13), (17.54)
Price to earning, 5.27 , 9.85 , 7.86 , 5.09 , 3.21 , 33.93 , 72.48 , 14.97 , 30.71 , (0.44), -   , 22.84 , -   
Price, 89.34 , 169.56 , 132.19 , 68.28 , 65.14 , 315.18 , 606.12 , 181.65 , 53.52 , 26.95 , 10.20 , (231.44), -   
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,12.39%,13.37%,14.28%,17.88%,11.85%,12.93%,0.00%,0.00%,0.00%,0.00%,,,
OPM,53.29%,56.19%,57.01%,55.73%,57.54%,44.64%,48.77%,44.41%,33.13%,10.32%,8.71%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,-8.05%,-10.83%,-15.54%,-5.34%,-11.62%,-5.34%,-15.54%
,,,,,,OPM,49.05%,45.28%,38.49%,33.32%,8.71%,33.32%,8.71%
,,,,,,Price to Earning, 20.37 , 26.73 , 38.02 , 22.84 , -   , 22.84 , -   
