GOA CARBON LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, (16.14), 68.62 , (9.39), (23.10), 82.78 , (32.85), (5.76), 34.55 , 17.38 , 26.78 
Cash from Investing Activity, 3.03 , (1.78), (44.30), 14.67 , (18.97), (81.24), 99.88 , (66.75), 11.26 , 1.90 
Cash from Financing Activity, 7.19 , (83.16), 70.76 , (17.27), (40.06), 93.95 , (80.75), 33.64 , (55.71), 20.01 
Net Cash Flow, (5.92), (16.32), 17.07 , (25.70), 23.75 , (20.14), 13.37 , 1.44 , (27.08), 48.69 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
