GODFREY PHILLIPS INDIA LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, 51.37 , 73.78 , 251.34 , 205.87 , 183.66 , 289.74 , 63.14 , 326.03 , 248.06 , 514.27 
Cash from Investing Activity, 18.26 , (51.23), (307.73), (225.08), (78.46), (134.98), (31.50), (126.21), (131.45), (408.85)
Cash from Financing Activity, (60.18), (5.94), 73.79 , 3.87 , (105.93), (157.77), (30.62), (199.56), (119.96), (96.53)
Net Cash Flow, 9.45 , 16.61 , 17.40 , (15.34), (0.73), (3.01), 1.03 , 0.26 , (3.35), 8.89 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
