GOENKA DIAMOND & JEWELS LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 443.77 , 536.75 , 560.99 , 515.71 , 729.33 , 374.84 , 102.24 , 91.45 , 2.83 , 6.46 , 1.77 , 14.75 , 5.38 
Expenses, 418.07 , 486.73 , 511.77 , 507.55 , 710.60 , 369.44 , 95.00 , 101.17 , 6.97 , 9.22 , 3.25 , 14.75 , 5.38 
Operating Profit, 25.70 , 50.02 , 49.22 , 8.16 , 18.73 , 5.40 , 7.24 , (9.72), (4.14), (2.76), (1.48), -   , -   
Other Income, 7.52 , -   , 4.01 , 25.50 , 14.64 , 8.48 , 12.43 , 1.67 , 2.46 , 1.47 , 1.27 , -   , -   
Depreciation, 0.56 , 1.05 , 1.30 , 1.29 , 1.20 , 1.01 , 1.15 , 0.62 , 0.59 , 0.63 , 0.53 , 0.53 , 0.53 
Interest, 4.00 , 5.54 , 8.51 , 8.85 , 10.14 , 12.28 , 17.44 , 22.96 , 0.78 , 0.59 , 0.57 , 0.57 , 0.57 
Profit before tax, 28.66 , 43.43 , 43.42 , 23.52 , 22.04 , 0.59 , 1.08 , (31.63), (3.05), (2.52), (1.31), (1.10), (1.10)
Tax, 1.28 , 2.25 , 0.46 , 2.74 , 0.83 , (0.02), 0.11 , 0.59 , 3.55 , (0.04), 0.23 ,0%,0%
Net profit, 27.38 , 41.18 , 42.96 , 20.78 , 21.21 , 0.61 , 0.97 , (32.22), (6.59), (2.49), (1.55), (1.10), (1.10)
EPS, 2.30 , 1.84 , 1.36 , 0.66 , 0.67 , 0.02 , 0.03 , (1.02), (0.21), (0.08), (0.05), (0.03), (0.03)
Price to earning,  , 6.08 , 4.81 , 15.26 , 42.05 , 161.13 , 52.62 , (1.34), (3.27), (7.31), -   , -   , -   
Price, -   , 11.20 , 6.52 , 10.00 , 28.14 , 3.10 , 1.61 , 1.37 , 0.68 , 0.57 , 0.30 , -   , -   
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.44%,5.42%,7.38%,15.26%,14.95%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,5.79%,9.32%,8.77%,1.58%,2.57%,1.44%,7.08%,0.00%,0.00%,0.00%,0.00%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,-37.50%,-47.15%,-61.14%,-60.17%,128.27%,128.27%,-61.14%
,,,,,,OPM,4.89%,2.17%,2.19%,0.00%,0.00%,0.00%,0.00%
,,,,,,Price to Earning, 46.99 , 67.76 , 106.87 ,  , -   , -   , -   
