GOKUL REFOILS AND SOLVENT LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 26.38 , 26.38 , 26.38 , 26.38 , 26.38 , 26.38 , 26.38 , 26.38 , 26.38 , 26.38 
Reserves, 316.06 , 354.39 , 411.47 , 304.38 , 317.30 , 320.39 , 332.82 , 242.14 , 238.76 , 221.22 
Borrowings, 209.67 , 318.72 , 578.49 ," 1,747.98 "," 1,152.51 ", 651.41 , 597.48 , 20.99 , 324.70 , -   
Other Liabilities, 336.78 , 561.83 , 509.94 ," 1,385.89 "," 1,089.78 "," 1,171.79 "," 1,083.81 ", 369.26 , 96.21 , 28.46 
Total, 888.89 ," 1,261.32 "," 1,526.28 "," 3,464.63 "," 2,585.97 "," 2,169.97 "," 2,040.49 ", 658.77 , 686.05 , 276.06 
,,,,,,,,,,
Net Block, 176.61 , 324.47 , 335.10 , 335.74 , 337.83 , 331.06 , 345.45 , 174.14 , 161.83 , 1.08 
Capital Work in Progress, 96.55 , 10.40 , 12.28 , 27.82 , 12.60 , 6.96 , 7.66 , 0.05 , 0.47 , 0.47 
Investments, 21.05 , 16.40 , 50.37 , 222.99 , 196.03 , 133.41 , 47.26 , 111.53 , 151.16 , 117.43 
Other Assets, 594.68 , 910.05 ," 1,128.53 "," 2,878.08 "," 2,039.51 "," 1,698.54 "," 1,640.12 ", 373.05 , 372.59 , 157.08 
Total, 888.89 ," 1,261.32 "," 1,526.28 "," 3,464.63 "," 2,585.97 "," 2,169.97 "," 2,040.49 ", 658.77 , 686.05 , 276.06 
,,,,,,,,,,
Working Capital, 257.90 , 348.22 , 618.59 ," 1,492.19 ", 949.73 , 526.75 , 556.31 , 3.79 , 276.38 , 128.62 
Debtors, 85.17 , 186.31 , 373.18 , 418.04 , 269.06 , 420.99 , 458.81 , 56.86 , 30.01 , 6.30 
Inventory, 312.43 , 566.17 , 475.45 , 581.83 , 500.66 , 401.98 , 565.38 , 95.69 , 133.08 , -   
,,,,,,,,,,
Debtor Days, 11.58 , 24.63 , 31.00 , 24.16 , 17.25 , 24.35 , 28.58 , 12.66 , 47.26 , 12.34 
Inventory Turnover, 8.59 , 4.88 , 9.24 , 10.85 , 11.37 , 15.70 , 10.37 , 17.14 , 1.74 , -   
,,,,,,,,,,
Return on Equity,7%,11%,14%,-32%,4%,1%,3%,2%,-1%,-1%
Return on Capital Emp,,16%,19%,1%,11%,8%,13%,4%,0%,0%
,,,,,,,,,,
