GOLDEN TOBACCO LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 84.49 , 86.47 , 96.09 , 71.34 , 68.90 , 70.29 , 51.59 , 44.73 , 36.96 , 79.63 , 74.15 , 171.56 , 77.67 
Expenses, 115.93 , 110.51 , 129.82 , 77.24 , 83.52 , 71.10 , 59.12 , 56.84 , 53.96 , 71.24 , 39.40 , 91.16 , 76.72 
Operating Profit, (31.44), (24.04), (33.73), (5.90), (14.62), (0.81), (7.53), (12.11), (17.00), 8.39 , 34.75 , 80.40 , 0.94 
Other Income, 47.35 , 28.25 , 18.26 , 0.57 , (4.29), 5.58 , 1.19 , 1.29 , 15.61 , 13.34 , (2.73), -   , -   
Depreciation, 2.55 , 2.03 , 1.52 , 1.05 , 1.25 , 1.09 , 1.21 , 1.04 , 0.87 , 0.75 , 0.67 , 0.67 , 0.67 
Interest, 12.68 , 13.48 , 16.87 , 22.66 , 23.25 , 25.58 , 23.07 , 24.71 , 27.45 , 24.55 , 20.66 , 20.66 , 20.66 
Profit before tax, 0.68 , (11.30), (33.86), (29.05), (43.42), (21.90), (30.63), (36.57), (29.71), (3.57), 10.69 , 59.07 , (20.39)
Tax, 0.43 , 0.04 , 0.02 , -   , -   , -   , -   , -   , -   , 4.48 , -   ,0%,0%
Net profit, 0.25 , (11.34), (33.88), (29.05), (43.42), (21.90), (30.63), (36.57), (29.71), (8.05), 10.70 , 59.07 , (20.39)
EPS, 0.14 , (6.44), (19.24), (16.50), (24.66), (12.44), (17.39), (20.77), (16.87), (4.57), 6.08 , 33.54 , (11.58)
Price to earning, 343.73 , (18.08), (4.23), (2.20), (0.98), (2.03), (2.43), (1.93), (4.29), (13.74), 6.22 , 6.22 , 6.22 
Price, 48.80 , 116.41 , 81.32 , 36.36 , 24.14 , 25.20 , 42.23 , 40.01 , 72.30 , 62.84 , 37.80 , 208.68 , (72.02)
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,10.54%,46.86%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,-0.66%,-2.65%,2.94%,15.57%,115.45%,115.45%,-2.65%
,,,,,,OPM,1.22%,1.98%,2.96%,5.20%,46.86%,46.86%,1.22%
,,,,,,Price to Earning, 174.98 , 6.22 , 6.22 , 6.22 , 6.22 , 6.22 , 6.22 
