GOLDSTONE TECHNOLOGIES LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 23.01 , 23.17 , 23.07 , 24.29 , 28.76 , 26.18 , 29.07 , 23.74 , 21.51 , 25.09 , 34.11 , 34.11 , 23.46 
Expenses, 28.06 , 19.31 , 19.91 , 19.94 , 23.36 , 21.14 , 24.45 , 23.77 , 21.53 , 23.02 , 31.04 , 31.04 , 22.77 
Operating Profit, (5.05), 3.86 , 3.16 , 4.35 , 5.40 , 5.04 , 4.62 , (0.03), (0.02), 2.07 , 3.07 , 3.07 , 0.69 
Other Income, 9.15 , 0.85 , 1.07 , 0.65 , 0.26 , 1.79 , 0.05 , 0.22 , 0.37 , 0.28 , 0.25 , -   , -   
Depreciation, 2.08 , 3.18 , 1.85 , 1.96 , 1.70 , 4.75 , 4.76 , 4.60 , 0.40 , 0.38 , 0.37 , 0.37 , 0.37 
Interest, 0.51 , 0.95 , 1.45 , 1.55 , 0.99 , 0.49 , 0.10 , 0.25 , 0.08 , 0.32 , 0.30 , 0.30 , 0.30 
Profit before tax, 1.51 , 0.58 , 0.93 , 1.49 , 2.96 , 1.60 , (0.20), (4.64), (0.12), 1.66 , 2.65 , 2.40 , 0.02 
Tax, 0.40 , 0.17 , (0.04), (0.16), 0.90 , 0.51 , 3.60 , (3.79), (1.31), (0.76), 0.99 ,37%,37%
Net profit, 1.11 , 0.41 , 0.97 , 1.64 , 2.06 , 1.08 , (3.80), (0.87), 1.19 , 2.43 , 1.67 , 1.50 , 0.01 
EPS, 0.59 , 0.22 , 0.52 , 0.87 , 1.10 , 0.58 , (2.02), (0.46), 0.63 , 1.29 , 0.89 , 0.80 , 0.01 
Price to earning, 26.71 , 130.97 , 18.37 , 7.88 , 4.47 , 7.13 , (2.81), (11.31), 21.25 , 10.32 , 14.06 , 15.21 , 10.85 
Price, 15.78 , 28.59 , 9.49 , 6.88 , 4.91 , 4.10 , 5.69 , 5.24 , 13.46 , 13.35 , 12.50 , 12.17 , 0.07 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,0.00%,16.66%,13.70%,17.91%,18.78%,19.25%,15.89%,0.00%,0.00%,8.25%,9.00%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,0.97%,1.21%,-2.69%,-4.79%,35.95%,35.95%,-4.79%
,,,,,,OPM,11.50%,12.02%,9.34%,2.94%,9.00%,9.00%,2.94%
,,,,,,Price to Earning, 26.80 , 10.85 , 13.19 , 15.21 , 14.06 , 15.21 , 10.85 
