GOODLUCK INDIA LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, (8.76), (12.58), 33.22 , (21.46), 22.20 , 49.43 , 82.34 , 52.70 , 22.59 , 75.04 
Cash from Investing Activity, (7.39), (10.55), (14.38), (38.17), (29.45), (27.54), (74.79), (52.59), (35.59), (66.24)
Cash from Financing Activity, 14.53 , 26.30 , (18.59), 56.45 , 8.10 , (20.55), (3.16), (0.89), 12.84 , (8.34)
Net Cash Flow, (1.62), 3.17 , 0.25 , (3.18), 0.85 , 1.34 , 4.39 , (0.78), (0.16), 0.46 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
