GRANULES INDIA LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 21.74 , 21.74 , 20.06 , 20.06 , 20.13 , 20.28 , 20.43 , 21.67 , 22.87 , 25.38 
Reserves, 161.09 , 182.11 , 202.02 , 224.68 , 250.37 , 324.03 , 404.98 , 642.83 , 861.49 ," 1,252.81 "
Borrowings, 118.91 , 100.72 , 102.08 , 162.97 , 226.96 , 329.84 , 411.55 , 641.39 , 656.50 , 978.44 
Other Liabilities, 45.24 , 58.57 , 62.56 , 99.86 , 120.22 , 182.89 , 271.94 , 265.69 , 318.83 , 361.56 
Total, 346.98 , 363.14 , 386.72 , 507.57 , 617.68 , 857.04 ," 1,108.90 "," 1,571.58 "," 1,859.69 "," 2,618.19 "
,,,,,,,,,,
Net Block, 224.51 , 219.56 , 222.98 , 237.15 , 244.83 , 335.67 , 522.17 , 523.29 , 605.58 , 660.15 
Capital Work in Progress, 2.02 , 2.17 , 6.14 , 29.08 , 91.60 , 39.14 , 18.50 , 35.28 , 132.31 , 286.03 
Investments, 21.67 , 22.60 , 22.60 , 32.80 , 50.76 , 145.45 , 72.47 , 88.95 , 75.12 , 75.12 
Other Assets, 98.78 , 118.81 , 135.00 , 208.54 , 230.49 , 336.78 , 495.76 , 924.06 ," 1,046.68 "," 1,596.89 "
Total, 346.98 , 363.14 , 386.72 , 507.57 , 617.68 , 857.04 ," 1,108.90 "," 1,571.58 "," 1,859.69 "," 2,618.19 "
,,,,,,,,,,
Working Capital, 53.54 , 60.24 , 72.44 , 108.68 , 110.27 , 153.89 , 223.82 , 658.37 , 727.85 ," 1,235.33 "
Debtors, 30.54 , 31.50 , 37.55 , 53.03 , 68.10 , 121.82 , 194.09 , 444.16 , 468.31 , 681.74 
Inventory, 37.15 , 51.60 , 60.13 , 88.57 , 108.49 , 120.29 , 179.40 , 210.13 , 237.59 , 227.36 
,,,,,,,,,,
Debtor Days, 43.98 , 29.83 , 33.81 , 34.40 , 36.73 , 44.93 , 58.41 , 122.10 , 126.67 , 151.12 
Inventory Turnover, 6.82 , 7.47 , 6.74 , 6.35 , 6.24 , 8.23 , 6.76 , 6.32 , 5.68 , 7.24 
,,,,,,,,,,
Return on Equity,3%,12%,10%,11%,11%,24%,22%,18%,16%,11%
Return on Capital Emp,,15%,12%,15%,13%,24%,22%,20%,17%,13%
,,,,,,,,,,
