GRANULES INDIA LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 253.44 , 385.38 , 405.32 , 562.68 , 676.81 , 989.71 ," 1,212.91 "," 1,327.73 "," 1,349.48 "," 1,646.64 "," 2,098.43 "," 2,098.43 "," 1,871.76 "
Expenses, 213.59 , 334.90 , 351.74 , 490.08 , 597.65 , 826.50 ," 1,001.03 "," 1,057.62 "," 1,053.68 "," 1,353.11 "," 1,766.10 "," 1,681.33 "," 1,575.32 "
Operating Profit, 39.85 , 50.48 , 53.58 , 72.60 , 79.16 , 163.21 , 211.88 , 270.11 , 295.80 , 293.53 , 332.33 , 417.10 , 296.43 
Other Income, (7.71), 12.34 , 0.68 , 1.21 , 1.62 , 3.45 , 0.89 , 6.14 , 14.52 , 23.77 , 28.49 , -   , -   
Depreciation, 9.75 , 15.90 , 15.88 , 17.98 , 20.21 , 26.40 , 49.56 , 58.25 , 71.35 , 75.92 , 90.78 , 90.78 , 90.78 
Interest, 14.54 , 16.40 , 10.98 , 15.49 , 16.49 , 18.93 , 30.93 , 37.05 , 32.16 , 32.93 , 28.35 , 28.35 , 28.35 
Profit before tax, 7.85 , 30.52 , 27.40 , 40.34 , 44.07 , 121.33 , 132.26 , 180.96 , 206.80 , 208.45 , 241.69 , 297.97 , 177.30 
Tax, 2.77 , 6.57 , 5.68 , 13.03 , 13.90 , 40.32 , 37.04 , 60.17 , 63.98 , 69.29 , 79.88 ,33%,33%
Net profit, 5.08 , 23.95 , 21.72 , 27.31 , 30.18 , 81.01 , 95.23 , 120.78 , 142.83 , 139.16 , 161.84 , 199.49 , 118.70 
EPS, 0.25 , 1.19 , 1.08 , 1.36 , 1.50 , 3.99 , 4.66 , 5.57 , 6.25 , 5.48 , 6.37 , 7.85 , 4.67 
Price to earning, 16.69 , 8.59 , 8.70 , 6.64 , 7.09 , 7.28 , 19.49 , 22.51 , 22.90 , 19.73 , 17.58 , 20.68 , 14.29 
Price, 4.22 , 10.24 , 9.42 , 9.05 , 10.63 , 29.09 , 90.85 , 125.43 , 143.03 , 108.14 , 111.90 , 162.24 , 66.72 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,53.54%,11.36%,13.86%,14.68%,13.35%,8.76%,10.72%,11.67%,14.41%,18.24%,,,
OPM,15.72%,13.10%,13.22%,12.90%,11.70%,16.49%,17.47%,20.34%,21.92%,17.83%,15.84%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,23.11%,22.17%,19.46%,10.73%,27.44%,27.44%,10.73%
,,,,,,OPM,17.37%,17.85%,18.92%,19.88%,15.84%,19.88%,15.84%
,,,,,,Price to Earning, 14.29 , 15.40 , 18.25 , 20.68 , 17.58 , 20.68 , 14.29 
