GRAPHITE INDIA LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 30.22 , 34.30 , 39.08 , 39.08 , 39.08 , 39.08 , 39.08 , 39.08 , 39.08 , 39.08 
Reserves, 984.19 ," 1,149.22 "," 1,364.42 "," 1,522.84 "," 1,605.92 "," 1,696.83 "," 1,714.53 "," 1,702.25 "," 1,812.78 "," 2,562.71 "
Borrowings, 352.24 , 249.26 , 265.17 , 461.72 , 603.83 , 341.09 , 248.29 , 179.92 , 126.82 , 155.29 
Other Liabilities, 347.59 , 324.87 , 395.20 , 435.60 , 461.94 , 550.76 , 456.86 , 411.02 , 459.43 , 768.72 
Total," 1,714.24 "," 1,757.65 "," 2,063.87 "," 2,459.24 "," 2,710.77 "," 2,627.76 "," 2,458.76 "," 2,332.27 "," 2,438.11 "," 3,525.80 "
,,,,,,,,,,
Net Block, 489.66 , 465.93 , 441.00 , 543.30 , 659.90 , 638.09 , 590.82 , 540.88 , 616.61 , 643.28 
Capital Work in Progress, 13.96 , 19.55 , 95.03 , 126.66 , 2.67 , 3.38 , 9.59 , 65.49 , 32.06 , 8.12 
Investments, 166.42 , 252.76 , 272.78 , 333.48 , 345.74 , 500.23 , 480.06 , 537.35 , 663.92 ," 1,241.10 "
Other Assets," 1,044.20 "," 1,019.41 "," 1,255.06 "," 1,455.80 "," 1,702.46 "," 1,486.06 "," 1,378.29 "," 1,188.55 "," 1,125.52 "," 1,633.30 "
Total," 1,714.24 "," 1,757.65 "," 2,063.87 "," 2,459.24 "," 2,710.77 "," 2,627.76 "," 2,458.76 "," 2,332.27 "," 2,438.11 "," 3,525.80 "
,,,,,,,,,,
Working Capital, 696.61 , 694.54 , 859.86 ," 1,020.20 "," 1,240.52 ", 935.30 , 921.43 , 777.53 , 666.09 , 864.58 
Debtors, 199.91 , 250.59 , 285.54 , 375.29 , 509.60 , 423.38 , 387.88 , 431.60 , 406.81 , 758.82 
Inventory, 530.63 , 576.46 , 759.82 , 854.91 , 977.70 , 883.00 , 854.99 , 632.02 , 512.63 , 669.94 
,,,,,,,,,,
Debtor Days, 66.81 , 83.01 , 85.01 , 81.98 , 105.39 , 87.40 , 94.56 , 116.98 , 113.72 , 93.63 
Inventory Turnover, 2.06 , 1.91 , 1.61 , 1.95 , 1.81 , 2.00 , 1.75 , 2.13 , 2.55 , 4.42 
,,,,,,,,,,
Return on Equity,19%,20%,12%,15%,10%,10%,5%,6%,6%,35%
Return on Capital Emp,,26%,17%,18%,12%,13%,7%,8%,6%,59%
,,,,,,,,,,
