GRASIM INDUSTRIES LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity," 2,109.48 "," 2,020.52 "," 1,006.94 ", 787.80 , 853.55 , 62.28 , 447.64 ," 1,340.69 "," 2,259.32 "," 2,355.52 "
Cash from Investing Activity," (1,786.17)"," (1,448.23)", (433.27), (463.25)," (1,156.98)", 221.49 , 27.47 , (697.12), (844.04)," (1,912.80)"
Cash from Financing Activity, (337.40), (669.75), (574.94), (328.18), 308.68 , (273.74), (448.22), (663.06)," (1,403.75)", (451.23)
Net Cash Flow, (14.09), (97.46), (1.27), (3.63), 5.25 , 10.03 , 26.89 , (19.49), 11.53 , (8.51)
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
