GREENPLY INDUSTRIES LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 719.99 , 861.00 ," 1,217.41 "," 1,643.66 "," 2,000.36 "," 2,159.52 "," 1,564.25 "," 1,714.26 "," 1,663.09 "," 1,680.37 "," 1,753.17 "," 1,753.17 "," 1,620.30 "
Expenses, 708.03 , 838.94 ," 1,102.01 "," 1,472.05 "," 1,738.58 "," 1,894.50 "," 1,356.98 "," 1,467.72 "," 1,407.98 "," 1,435.63 "," 1,550.20 "," 1,494.45 "," 1,432.72 "
Operating Profit, 11.96 , 22.06 , 115.40 , 171.61 , 261.78 , 265.02 , 207.27 , 246.54 , 255.11 , 244.74 , 202.97 , 258.72 , 187.59 
Other Income, 6.93 , 12.36 , 3.15 , 4.08 , 5.29 , 3.11 , 16.85 , 5.54 , 2.48 , (1.25), 7.37 , -   , -   
Depreciation, 17.05 , 22.02 , 40.99 , 46.77 , 51.99 , 57.57 , 47.06 , 49.01 , 48.53 , 44.81 , 60.18 , 60.18 , 60.18 
Interest, 22.53 , 26.48 , 46.70 , 64.00 , 63.70 , 61.18 , 38.28 , 30.48 , 18.12 , 9.47 , 26.06 , 26.06 , 26.06 
Profit before tax, 44.35 , 56.98 , 30.86 , 64.92 , 151.38 , 149.37 , 138.79 , 172.58 , 190.95 , 189.21 , 124.10 , 172.48 , 101.35 
Tax, 7.04 , 7.41 , 5.77 , 11.51 , 37.22 , 34.91 , 16.97 , 41.42 , 55.87 , 53.51 , 17.69 ,14%,14%
Net profit, 37.31 , 49.57 , 25.09 , 53.41 , 114.16 , 114.47 , 121.82 , 131.17 , 135.07 , 135.69 , 106.41 , 147.90 , 86.90 
EPS, 4.39 , 4.49 , 2.08 , 4.43 , 9.46 , 9.49 , 2.02 , 10.87 , 11.01 , 11.07 , 8.68 , 12.06 , 7.09 
Price to earning, 2.33 , 8.03 , 18.11 , 8.91 , 8.22 , 8.00 , 98.78 , 17.66 , 25.80 , 28.44 , 18.44 , 22.59 , 18.44 
Price, 10.25 , 36.04 , 37.66 , 39.41 , 77.76 , 75.89 , 199.41 , 191.98 , 284.16 , 314.70 , 160.05 , 272.41 , 130.71 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,6.83%,6.68%,9.61%,9.04%,6.34%,6.32%,5.94%,5.52%,5.45%,5.42%,,,
OPM,1.66%,2.56%,9.48%,10.44%,13.09%,12.27%,13.25%,14.38%,15.34%,14.56%,11.58%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,9.87%,4.71%,-3.43%,2.42%,4.33%,4.33%,-3.43%
,,,,,,OPM,11.83%,13.30%,13.88%,14.76%,11.58%,14.76%,11.58%
,,,,,,Price to Earning, 22.07 , 26.78 , 32.85 , 22.59 , 18.44 , 22.59 , 18.44 
