GUJARAT FLUOROCHEMICALS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 10.99 , 10.99 , 10.99 , 10.99 , 10.99 , 10.99 , 10.99 , 10.99 , 10.99 , 10.99 
Reserves," 1,219.84 "," 1,517.33 "," 1,736.23 "," 2,130.78 "," 2,484.27 "," 2,513.71 "," 2,844.60 "," 2,875.54 "," 3,025.42 "," 3,468.14 "
Borrowings, 694.11 , 537.87 , 583.06 , 851.18 , 866.42 , 704.94 , 716.90 , 478.44 , 631.65 , 749.71 
Other Liabilities, 282.59 , 475.59 , 596.33 , 469.62 , 369.38 , 427.58 , 502.40 , 493.79 , 547.84 , 758.81 
Total," 2,207.53 "," 2,541.78 "," 2,926.61 "," 3,462.57 "," 3,731.06 "," 3,657.22 "," 4,074.89 "," 3,858.76 "," 4,215.90 "," 4,987.65 "
,,,,,,,,,,
Net Block, 797.12 ," 1,064.89 "," 1,267.96 "," 1,626.84 "," 1,624.80 "," 1,628.12 "," 1,994.15 "," 1,976.97 "," 1,910.29 "," 1,908.89 "
Capital Work in Progress, 222.11 , 133.64 , 330.60 , 253.40 , 390.99 , 428.23 , 108.95 , 42.03 , 139.22 , 343.65 
Investments, 505.73 , 748.67 , 570.85 , 293.21 , 474.08 , 463.81 , 433.14 , 593.27 , 686.36 , 815.83 
Other Assets, 682.57 , 594.58 , 757.20 ," 1,289.12 "," 1,241.19 "," 1,137.06 "," 1,538.65 "," 1,246.49 "," 1,480.03 "," 1,919.28 "
Total," 2,207.53 "," 2,541.78 "," 2,926.61 "," 3,462.57 "," 3,731.06 "," 3,657.22 "," 4,074.89 "," 3,858.76 "," 4,215.90 "," 4,987.65 "
,,,,,,,,,,
Working Capital, 399.98 , 118.99 , 160.87 , 819.50 , 871.81 , 709.48 ," 1,036.25 ", 752.70 , 932.19 ," 1,160.47 "
Debtors, 121.77 , 92.76 , 175.59 , 247.83 , 330.89 , 316.72 , 385.42 , 375.21 , 370.76 , 555.13 
Inventory, 192.21 , 187.86 , 180.51 , 414.40 , 421.11 , 316.95 , 367.13 , 321.03 , 315.90 , 346.16 
,,,,,,,,,,
Debtor Days, 42.61 , 34.42 , 65.21 , 43.72 , 75.67 , 101.32 , 106.50 , 102.63 , 94.80 , 98.57 
Inventory Turnover, 5.43 , 5.24 , 5.44 , 4.99 , 3.79 , 3.60 , 3.60 , 4.16 , 4.52 , 5.94 
,,,,,,,,,,
Return on Equity,28%,22%,15%,20%,16%,3%,13%,3%,5%,14%
Return on Capital Emp,,23%,17%,27%,21%,5%,14%,5%,6%,17%
,,,,,,,,,,
