GUJARAT PIPAVAV PORT LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Dec-08,Dec-09,Dec-10,Dec-11,Dec-12,Dec-13,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 293.70 , 314.86 , 423.56 , 423.56 , 483.44 , 483.44 , 483.44 , 483.44 , 483.44 , 483.44 
Reserves, 34.84 , (3.78), 312.31 , 369.41 , 728.30 , 920.07 ," 1,307.35 "," 1,513.14 "," 1,536.06 "," 1,530.62 "
Borrowings, 741.49 ," 1,089.11 ", 797.33 , 675.86 , 320.68 , 303.88 , -   , -   , -   , -   
Other Liabilities, 456.80 , 310.79 , 386.34 , 386.07 , 131.00 , 159.24 , 199.73 , 472.05 , 532.69 , 509.41 
Total," 1,526.83 "," 1,710.98 "," 1,919.54 "," 1,854.90 "," 1,663.42 "," 1,866.63 "," 1,990.52 "," 2,468.63 "," 2,552.19 "," 2,523.47 "
,,,,,,,,,,
Net Block, 858.87 ," 1,283.03 "," 1,260.28 "," 1,269.76 "," 1,246.18 "," 1,357.80 "," 1,339.32 "," 1,342.38 "," 1,676.19 "," 1,686.28 "
Capital Work in Progress, 158.03 , 15.57 , 30.42 , 9.05 , 157.73 , 106.12 , 65.26 , 391.53 , 92.22 , 32.32 
Investments, 83.00 , 83.00 , 83.00 , 83.00 , 83.00 , 83.00 , 83.00 , 83.00 , 83.00 , 83.00 
Other Assets, 426.93 , 329.38 , 545.84 , 493.09 , 176.51 , 319.71 , 502.94 , 651.72 , 700.78 , 721.87 
Total," 1,526.83 "," 1,710.98 "," 1,919.54 "," 1,854.90 "," 1,663.42 "," 1,866.63 "," 1,990.52 "," 2,468.63 "," 2,552.19 "," 2,523.47 "
,,,,,,,,,,
Working Capital, (29.87), 18.59 , 159.50 , 107.02 , 45.51 , 160.47 , 303.21 , 179.67 , 168.09 , 212.46 
Debtors, 7.35 , 21.67 , 29.45 , 32.36 , 38.56 , 34.36 , 35.60 , 28.85 , 28.57 , 25.76 
Inventory, 4.74 , 5.15 , 7.47 , 5.70 , 11.45 , 12.00 , 13.49 , 15.49 , 15.56 , 13.62 
,,,,,,,,,,
Debtor Days, 16.03 , 35.84 , 37.86 , 29.84 , 33.83 , 24.21 , 14.99 , 15.96 , 15.27 , 14.49 
Inventory Turnover, 35.30 , 42.86 , 38.01 , 69.45 , 36.33 , 43.16 , 64.27 , 42.60 , 43.90 , 47.64 
,,,,,,,,,,
Return on Equity,-21%,-37%,-7%,7%,6%,14%,22%,10%,12%,10%
Return on Capital Emp,,0%,5%,9%,9%,14%,24%,16%,17%,15%
,,,,,,,,,,
