GUJARAT PIPAVAV PORT LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Dec-08,Dec-09,Dec-10,Dec-11,Dec-12,Dec-13,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, (25.98), (23.20), 88.93 , 60.79 , 262.13 , 289.99 , 443.53 , 389.41 , 402.01 , 314.55 
Cash from Investing Activity, (129.39), (306.40), (37.99), (1.03), (162.79), (175.82), (207.32), (285.29), (240.92), (128.80)
Cash from Financing Activity, 70.87 , 239.67 , 64.13 , (214.11), (88.79), (54.41), (331.55), (0.16), (227.18), (203.71)
Net Cash Flow, (84.50), (89.93), 115.07 , (154.35), 10.55 , 59.76 , (95.34), 103.95 , (66.10), (17.95)
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
