GUJARAT LEASE FINANCING LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 0.46 , 0.02 , 0.01 , 0.02 , 0.02 , 0.01 , 0.02 , 0.08 , 0.03 , 0.01 , -   , 0.01 , 0.01 
Expenses, 0.54 , 0.30 , 0.16 , 0.16 , 0.16 , 0.13 , 0.22 , 0.38 , 0.27 , 0.28 , 0.40 , 0.01 , 0.01 
Operating Profit, (0.08), (0.28), (0.15), (0.14), (0.14), (0.12), (0.20), (0.30), (0.24), (0.27), (0.40), -   , -   
Other Income, 0.62 , 0.19 , 0.17 , -   , -   , -   , 0.17 , 0.18 , -   , -   , 0.17 , -   , -   
Depreciation, 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.04 , 0.03 , 0.02 , 0.02 , 0.04 , 0.04 , 0.04 
Interest, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Profit before tax, 0.52 , (0.11), -   , (0.16), (0.17), (0.14), (0.07), (0.15), (0.27), (0.29), (0.27), (0.04), (0.04)
Tax, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0%,0%
Net profit, 0.52 , (0.11), -   , (0.16), (0.17), (0.13), (0.07), (0.15), (0.27), (0.29), (0.26), (0.04), (0.04)
EPS, 0.19 , (0.04), -   , (0.06), (0.06), (0.05), (0.02), (0.05), (0.10), (0.10), (0.10), (0.01), (0.01)
Price to earning, 17.57 , (104.28),#DIV/0!, (40.78), (33.96), (32.53), (87.06), (35.56), (37.60), (14.67), -   , -   , -   
Price, 3.26 , 4.09 , 3.83 , 2.33 , 2.06 , 1.51 , 2.18 , 1.90 , 3.62 , 1.52 , 2.16 , -   , -   
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,-34.65%,0.00%,-12.94%,-20.63%,-66.67%,-20.63%,-66.67%
,,,,,,OPM,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,,Price to Earning, 17.57 ,  ,  ,  , -   , -   , -   
