GUJARAT RAFFIA INDUSTRIES LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-06,Sep-07,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 18.74 , 26.76 , 25.66 , 27.45 , 27.72 , 36.50 , 38.74 , 37.03 , 36.50 , 38.62 , 48.12 , 48.12 , 38.57 
Expenses, 20.15 , 24.43 , 24.28 , 26.22 , 25.98 , 33.45 , 34.41 , 33.62 , 32.44 , 35.42 , 45.48 , 43.54 , 36.45 
Operating Profit, (1.41), 2.33 , 1.38 , 1.23 , 1.74 , 3.05 , 4.33 , 3.41 , 4.06 , 3.20 , 2.64 , 4.58 , 2.12 
Other Income, 2.58 , 0.21 , 0.22 , 0.25 , 0.05 , 0.31 , 0.10 , 0.72 , 0.04 , 0.01 , 0.06 , -   , -   
Depreciation, 0.66 , 0.99 , 0.68 , 0.53 , 0.65 , 1.22 , 2.06 , 2.01 , 1.71 , 1.21 , 0.90 , 0.90 , 0.90 
Interest, 0.40 , 0.54 , 0.23 , 0.25 , 0.40 , 1.18 , 1.38 , 1.11 , 1.36 , 0.91 , 0.66 , 0.66 , 0.66 
Profit before tax, 0.26 , 1.37 , 0.69 , 0.70 , 0.73 , 0.95 , 0.98 , 1.00 , 1.02 , 1.07 , 1.14 , 3.02 , 0.56 
Tax, 0.01 , 0.01 , 0.13 , 0.14 , 0.14 , 0.19 , 0.19 , 0.21 , 0.24 , 0.22 , 0.22 ,19%,19%
Net profit, 0.25 , 1.36 , 0.56 , 0.57 , 0.58 , 0.77 , 0.80 , 0.79 , 0.78 , 0.85 , 0.92 , 2.44 , 0.45 
EPS, 0.24 , 2.72 , 1.12 , 1.14 , 1.16 , 1.54 , 1.60 , 1.58 , 1.56 , 1.70 , 1.70 , 4.50 , 0.83 
Price to earning,  ,  , 4.53 , 2.83 , 2.93 , 2.22 , 4.17 , 4.56 , 12.69 , 25.55 , 9.02 , 12.96 , 7.61 
Price, -   , -   , 5.08 , 3.23 , 3.41 , 3.42 , 6.67 , 7.22 , 19.82 , 43.48 , 15.35 , 58.36 , 6.32 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,0.00%,8.71%,5.38%,4.48%,6.28%,8.36%,11.18%,9.21%,11.12%,8.29%,5.49%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,8.37%,6.01%,6.86%,-0.10%,24.60%,24.60%,-0.10%
,,,,,,OPM,7.88%,8.67%,9.63%,9.51%,5.49%,9.51%,5.49%
,,,,,,Price to Earning, 7.61 , 8.00 , 9.70 , 12.96 , 9.02 , 12.96 , 7.61 
