GUJARAT STATE PETRONET LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 562.12 , 562.45 , 562.58 , 562.69 , 562.71 , 562.74 , 562.98 , 563.34 , 563.59 , 563.83 
Reserves, 653.08 ," 1,001.37 "," 1,443.99 "," 1,903.99 "," 2,377.87 "," 2,732.09 "," 3,060.07 "," 3,505.84 "," 3,932.39 "," 4,501.21 "
Borrowings," 1,150.95 "," 1,259.55 "," 1,478.19 "," 1,395.84 "," 1,609.66 "," 1,428.82 "," 1,157.49 "," 1,067.00 ", 630.53 ," 3,057.83 "
Other Liabilities, 647.72 , 974.60 , 630.38 , 607.33 , 704.89 , 681.81 , 763.89 , 719.73 , 720.18 , 838.14 
Total," 3,013.87 "," 3,797.97 "," 4,115.14 "," 4,469.85 "," 5,255.13 "," 5,405.46 "," 5,544.43 "," 5,855.91 "," 5,846.69 "," 8,961.01 "
,,,,,,,,,,
Net Block," 1,768.63 "," 2,436.79 "," 3,181.68 "," 3,140.23 "," 3,251.50 "," 3,159.34 "," 3,065.39 "," 3,123.06 "," 3,165.68 "," 3,114.17 "
Capital Work in Progress, 644.59 , 649.07 , 334.37 , 418.21 , 526.02 , 656.10 , 776.50 , 767.91 , 686.37 , 895.92 
Investments, 35.58 , 66.57 , 76.57 , 116.42 , 174.02 , 584.97 , 648.65 , 731.10 , 765.50 ," 4,181.36 "
Other Assets, 565.07 , 645.54 , 522.52 , 794.99 ," 1,303.59 "," 1,005.05 "," 1,053.89 "," 1,233.84 "," 1,229.14 ", 769.56 
Total," 3,013.87 "," 3,797.97 "," 4,115.14 "," 4,469.85 "," 5,255.13 "," 5,405.46 "," 5,544.43 "," 5,855.91 "," 5,846.69 "," 8,961.01 "
,,,,,,,,,,
Working Capital, (82.65), (329.06), (107.86), 187.66 , 598.70 , 323.24 , 290.00 , 514.11 , 508.96 , (68.58)
Debtors, 54.36 , 75.27 , 67.68 , 81.44 , 254.10 , 249.01 , 150.39 , 151.75 , 118.93 , 123.52 
Inventory, 92.57 , 22.27 , 62.26 , 66.18 , 77.15 , 69.41 , 110.24 , 117.73 , 112.34 , 123.46 
,,,,,,,,,,
Debtor Days, 40.70 , 27.70 , 23.61 , 26.46 , 79.05 , 86.50 , 51.56 , 55.84 , 42.25 , 33.85 
Inventory Turnover, 5.27 , 44.54 , 16.81 , 16.97 , 15.21 , 15.14 , 9.66 , 8.43 , 9.15 , 10.79 
,,,,,,,,,,
Return on Equity,10%,26%,25%,21%,18%,13%,11%,11%,11%,13%
Return on Capital Emp,,28%,27%,24%,23%,17%,16%,15%,16%,16%
,,,,,,,,,,
