GULF OIL LUBRICANTS INDIA LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Mar-09,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, -   , -   , 0.05 , 0.05 , 0.05 , 0.05 , 9.91 , 9.91 , 9.93 , 9.94 
Reserves, -   , -   , (0.01), -   , -   , (0.01), 177.19 , 238.62 , 344.20 , 457.48 
Borrowings, -   , -   , -   , -   , -   , -   , 215.43 , 194.72 , 178.49 , 248.06 
Other Liabilities, -   , -   , -   , -   , 0.01 , 33.82 , 164.12 , 207.87 , 207.99 , 316.58 
Total, -   , -   , 0.04 , 0.05 , 0.06 , 33.86 , 566.65 , 651.12 , 740.61 ," 1,032.06 "
,,,,,,,,,,
Net Block, -   , -   , -   , -   , -   , 33.82 , 89.18 , 106.93 , 117.97 , 260.08 
Capital Work in Progress, -   , -   , -   , -   , -   , -   , 8.42 , 1.90 , 29.18 , 6.00 
Investments, -   , -   , -   , -   , -   , -   , 2.64 , 3.15 , 3.72 , 4.15 
Other Assets, -   , -   , 0.04 , 0.05 , 0.06 , 0.04 , 466.41 , 539.14 , 589.74 , 761.83 
Total, -   , -   , 0.04 , 0.05 , 0.06 , 33.86 , 566.65 , 651.12 , 740.61 ," 1,032.06 "
,,,,,,,,,,
Working Capital, -   , -   , 0.04 , 0.05 , 0.05 , (33.78), 302.29 , 331.27 , 381.75 , 445.25 
Debtors, -   , -   , -   , -   , -   , -   , 114.12 , 106.44 , 109.62 , 134.62 
Inventory, -   , -   , -   , -   , -   , -   , 141.59 , 156.89 , 149.93 , 236.80 
,,,,,,,,,,
Debtor Days, -   , -   , -   , -   , -   , -   , 43.05 , 38.41 , 36.82 , 36.88 
Inventory Turnover, -   , -   , -   , -   , -   , -   , 6.83 , 6.45 , 7.25 , 5.63 
,,,,,,,,,,
Return on Equity,,,-25%,0%,0%,-25%,41%,40%,33%,34%
Return on Capital Emp,,,-50%,0%,0%,-22%,66%,40%,39%,40%
,,,,,,,,,,
