GULF OIL LUBRICANTS INDIA LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Mar-09,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, -   , -   , -   , -   , -   , 18.59 , 131.41 , 117.83 , 133.86 , 110.08 
Cash from Investing Activity, -   , -   , -   , -   , -   , (18.60), 1.19 , (3.27), (10.01), (50.85)
Cash from Financing Activity, -   , -   , -   , -   , -   , -   , 19.64 , (78.75), (59.09), 8.92 
Net Cash Flow, -   , -   , -   , -   , -   , (0.01), 152.25 , 35.81 , 64.76 , 68.15 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
