GULSHAN POLYOLS LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 192.50 , 204.02 , 253.72 , 267.86 , 277.14 , 319.42 , 395.32 , 432.75 , 491.83 , 615.81 , 668.95 , 771.04 , 706.15 
Expenses, 162.92 , 173.43 , 222.00 , 235.77 , 232.10 , 278.60 , 348.13 , 380.29 , 431.36 , 546.80 , 578.94 , 667.30 , 622.74 
Operating Profit, 29.58 , 30.59 , 31.72 , 32.09 , 45.04 , 40.82 , 47.19 , 52.46 , 60.47 , 69.01 , 90.01 , 103.75 , 83.41 
Other Income, 1.47 , 0.51 , 0.69 , 1.12 , 2.06 , 2.08 , 2.98 , 4.54 , 4.13 , 1.83 , 1.67 , -   , -   
Depreciation, 6.69 , 15.03 , 14.42 , 13.28 , 14.21 , 13.54 , 22.54 , 23.73 , 28.08 , 36.48 , 47.02 , 47.02 , 47.02 
Interest, 5.51 , 5.46 , 4.27 , 3.27 , 4.26 , 3.55 , 2.64 , 3.85 , 6.18 , 10.81 , 12.60 , 12.60 , 12.60 
Profit before tax, 23.30 , 14.90 , 18.78 , 21.61 , 28.62 , 31.60 , 31.82 , 37.82 , 30.33 , 23.55 , 32.06 , 44.13 , 23.79 
Tax, 5.92 , 2.01 , 2.48 , 3.70 , 4.49 , 4.47 , 6.34 , 7.33 , 2.99 , 5.30 , 8.61 ,27%,27%
Net profit, 17.38 , 12.89 , 16.30 , 17.91 , 24.13 , 27.12 , 25.48 , 30.49 , 27.34 , 18.24 , 23.44 , 32.28 , 17.40 
EPS, 4.16 , 3.05 , 3.86 , 4.24 , 5.71 , 6.42 , 5.74 , 6.58 , 5.83 , 3.89 , 5.00 , 6.88 , 3.71 
Price to earning, 3.83 , 7.72 , 4.05 , 3.34 , 2.09 , 3.20 , 11.24 , 10.14 , 15.49 , 18.58 , 10.11 , 13.58 , 8.16 
Price, 15.96 , 23.57 , 15.62 , 14.16 , 11.94 , 20.56 , 64.49 , 66.78 , 90.24 , 72.22 , 50.50 , 93.41 , 30.27 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,4.78%,8.15%,6.44%,5.86%,8.74%,7.78%,12.21%,10.63%,39.47%,17.98%,,,
OPM,15.37%,14.99%,12.50%,11.98%,16.25%,12.78%,11.94%,12.12%,12.29%,11.21%,13.46%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,13.79%,13.50%,17.31%,15.92%,25.21%,25.21%,13.50%
,,,,,,OPM,12.72%,12.40%,11.97%,11.81%,13.46%,13.46%,11.81%
,,,,,,Price to Earning, 8.16 , 9.27 , 11.46 , 13.58 , 10.11 , 13.58 , 8.16 
