HOUSING DEVELOPMENT FINANCE CORPORATION LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity," (8,749.64)"," (9,732.65)"," (17,211.60)"," (23,755.17)"," (19,839.82)"," (21,468.89)"," (25,469.23)"," (27,404.59)"," (36,119.22)"," (50,443.03)"
Cash from Investing Activity," (3,414.59)", 112.29 , (527.22), 179.70 , (866.62), 151.93 , 199.44 , 853.27 ," (1,397.83)"," (2,480.39)"
Cash from Financing Activity," 13,082.08 "," 13,149.38 "," 18,644.22 "," 22,695.27 "," 21,531.09 "," 23,627.63 "," 22,392.00 "," 26,301.36 "," 39,087.85 "," 49,946.19 "
Net Cash Flow, 917.85 ," 3,529.02 ", 905.40 , (880.20), 824.65 ," 2,310.67 "," (2,877.79)", (249.96)," 1,570.80 "," (2,977.23)"
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
